	depth	storage	outflow_rect	outflow_circ
0.0	0.0	0.0	0.0	0.0
0.1	0.1	33.789522852000005	0.0	0.0
0.2	0.2	67.57904570400001	0.05693872437129586	0.0319272687532273
0.3	0.3	101.368568556	0.17019743203182353	0.1344457073115395
0.4	0.4	135.158091408	0.32275886245934626	0.3020070039083855
0.5	0.5	168.94761426	0.4969197763313092	0.4963987986895085
0.6	0.6	202.73713711200008	1.4119979843838304	0.7527772904637717
0.7	0.7	236.526659964	1.5994900929609697	1.040209199438888
0.8	0.8	270.31618281600004	1.7655179433787487	1.4400823766359994
0.9	0.9	304.105705668	1.9164415328656237	1.616576584580353
1.0	1.0	337.89522852	2.055894721857442	1.7739130652835713
1.1	1.1	363.064356383	2.186218240190587	1.9175842496718998
1.2	1.2	388.2334842460001	2.309035686724389	2.0507729287678655
1.3	1.3	413.402612109	2.4255323617917703	2.1755541123961137
1.4	1.4	438.5717399720001	2.5366069682529835	2.2933812100389304
1.443639511	1.443639511	589.58650715	2.5835641450803983	2.342903218043829
