	depth	storage	outflow_rect	outflow_circ
0.0	0.0	0.0	0.0	0.0
0.1	0.1	8.224133215579997	0.0	0.0
0.2	0.2	16.448266431159993	0.02846936218564793	0.02381510821470987
0.3	0.3	24.672399646740004	0.08509871601591176	0.0969759598068315
0.4	0.4	32.89653286232	0.16137943122967313	0.2083723735444207
0.5	0.5	41.1206660779	0.4585166406887618	0.3245321747123045
0.6	0.6	49.34479929348	0.5215893197108906	0.44646713226110374
0.7	0.7	57.56893250906001	0.5775579839306884	0.511500489982601
0.8	0.8	65.79306572464	0.6284399144835229	0.568852199812921
0.9	0.9	74.01719894022	0.6754331144572602	0.6207938457078392
1.0	1.0	82.2413321558	0.7193229197409083	0.6686412913427054
1.1	1.1	112.19908411922	0.7606589270480376	0.7132440804377255
1.2	1.2	142.15683608264	0.7998442653909353	0.7551905121708471
1.3	1.3	172.11458804606002	0.8371853567564054	0.7949087497987339
1.4	1.4	202.07234000948003	0.8729217408152461	0.8327222817224148
1.5	1.5	232.0300919729	0.9072449735180207	0.8688827672475521
1.6	1.6	261.98784393632	0.940311143641967	0.9035906558737192
1.7	1.7	291.94559589974006	0.9722494671161772	0.9370087408941487
1.8	1.8	321.90334786316004	1.0031683683646928	0.9692714079923945
1.9	1.9	351.86109982658	1.0331598945320395	1.0004911452884484
2.0	2.0	381.81885179	1.0623029905306347	1.0307632475777524
2.1	2.1	451.05319216400017	1.0906659755722918	1.0601692930033702
2.2	2.2	520.2875325380002	1.1183084474109632	1.088779763119519
2.3	2.3	589.5218729120003	1.1452827683462024	1.1166560514508317
2.4	2.4	658.7562132860002	1.1716352402321202	1.1438520267117185
2.5	2.5	727.99055366	1.1974070446332121	1.1704152659100655
2.6	2.6	797.2248940339999	1.2226350031439304	1.196388038854656
2.7	2.7	866.4592344080002	1.2473521982589664	1.2218081027831074
2.8	2.8	935.6935747820004	1.271588484869291	1.2467093500902229
2.9	2.9	1004.9279151560004	1.2953709150737092	1.2711223410794987
3.0	3.0	1074.16225553	1.31872409362904	1.295074745764397
3.1	3.1	1213.3071131990002	1.3416704774100632	1.3185917130231923
3.2	3.2	1352.4519708680002	1.364230629304339	1.3416961812071793
3.3	3.3	1491.5968285370004	1.3864234347460782	1.3644091411750812
3.4	3.4	1630.7416862060004	1.4082662874013598	1.3867498603740755
3.5	3.5	1769.886543875	1.4297752492155693	1.4087360747991706
3.6	3.6	1909.031401544	1.4509651890239936	1.4303841542893367
3.7	3.7	2048.176259213	1.4718499031358807	1.4517092455546805
3.8	3.8	2187.3211168820003	1.4924422206787609	1.4727253964973686
3.9	3.9	2326.4659745510003	1.5127540959942358	1.49344566473402
4.0	4.0	2465.61083222	1.532796689979958	1.5138822127074616
4.1	4.1	2686.293119846001	1.5525804419531386	1.534046391360387
4.2	4.2	2906.975407472001	1.5721151333521963	1.5539488140092892
4.3	4.3	3127.657695098	1.5914099443821814	1.5735994217865985
4.4	4.4	3348.339982724001	1.6104735045368264	1.5930075417987628
4.5	4.5	3569.02227035	1.6293139377876407	1.6121819389677465
4.6	4.6	3789.704557976001	1.6479389031126221	1.6311308623750658
4.7	4.7	4010.386845602	1.6663556309391152	1.6498620868047833
4.8	4.8	4231.069133228001	1.6845709559934055	1.668382950079933
4.9	4.9	4451.751420854001	1.7025913469810126	1.6867003867017207
5.0	5.0	4672.43370848	1.7204229334636343	1.704820958229518
5.1	5.1	4703.471913638	1.7380715302499075	1.7227508807795995
5.122438904	5.122438904	4982.81576006	1.7420071126719594	1.7267485760160048
