	depth	storage	outflow_rect	outflow_circ
0.0	0.0	0.0	0.0	0.0
0.1	0.1	49.80492223890002	0.0	0.0
0.2	0.2	99.60984447779998	0.02372446848803994	0.021308501857837447
0.3	0.3	149.4147667167	0.07091559667992647	0.08502104625264666
0.4	0.4	199.2196889556	0.28194981093786353	0.17690174660287242
0.5	0.5	249.0246111945	0.33065536592526484	0.2680659774588597
0.6	0.6	298.82953343340006	0.3728157497598409	0.3168943458694163
0.7	0.7	348.63445567230013	0.41057201403313415	0.3588882289369623
0.8	0.8	398.4393779112	0.4450881235843074	0.3963580139644242
0.9	0.9	448.2443001501	0.47708602960579277	0.4305303180914324
1.0	1.0	498.049222389	0.5070517900992639	0.46215569998348055
1.1	1.1	653.8010158521001	0.5353317821333043	0.49173490742699194
1.2	1.2	809.5528093152003	0.5621834367781992	0.5196224377763751
1.3	1.3	965.3046027783004	0.5878043943632986	0.546080430188069
1.4	1.4	1121.0563962414003	0.6123503744157335	0.5713093355918433
1.5	1.5	1276.8081897045	0.6359466948252247	0.5954665741010758
1.6	1.6	1432.5599831676004	0.6586960051640524	0.6186784894483159
1.7	1.7	1588.3117766307005	0.6806836554127339	0.6410483347850708
1.8	1.8	1744.0635700938003	0.7019815296190299	0.6626617936421073
1.9	1.9	1899.8153635569008	0.7226508500140534	0.6835909083185496
2.0	2.0	2055.56715702	0.7427442711147186	0.7038969444869385
2.1	2.1	2443.4322513190004	0.7623074722067517	0.7236325247458208
2.2	2.2	2831.297345618001	0.7813803878691319	0.7428432472771767
2.3	2.3	3219.162439917001	0.7999981723974983	0.7615689339754723
2.4	2.4	3607.0275342160016	0.8181919653229063	0.7798446068348046
2.5	2.5	3994.892628515	0.8359895060256717	0.7977012616559225
2.6	2.6	4382.757722814	0.8534156323154853	0.81516648828514
2.7	2.7	4770.6228171130015	0.8704926887004332	0.8322649730582583
2.8	2.8	5158.487911412	0.8872408635834846	0.8490189097110181
2.9	2.9	5546.353005711001	0.9036784699580491	0.865448338361784
3.0	3.0	5934.21810001	0.9198221807675805	0.8815714273912731
3.1	3.1	6571.0842449890015	0.9356872275752944	0.8974047095608141
3.2	3.2	7207.950389968	0.9512875693053423	0.9129632811393754
3.3	3.3	7844.816534947002	0.966636036390975	0.9282609708887625
3.4	3.4	8481.682679926002	0.9817444545757759	0.9433104843054217
3.5	3.5	9118.548824905	0.9966237517734274	0.9581235274100012
3.6	3.6	9755.414969884	1.011284050737486	0.9727109135227278
3.7	3.7	10392.281114863	1.0257347497793463	0.9870826557995271
3.8	3.8	11029.147259842002	1.0399845933668117	1.0012480477841046
3.9	3.9	11666.013404821	1.0540417341125188	1.0152157338206984
4.0	4.0	12302.8795498	1.067913787402353	1.0289937708456185
4.1	4.1	13314.705802410004	1.0816078797048867	1.0425896828140733
4.2	4.2	14326.53205502	1.0951306914331804	1.0560105088078515
4.3	4.3	15338.358307629998	1.108488495091666	1.0692628456983568
4.4	4.4	16350.184560240004	1.1216871893271612	1.0823528860999272
4.5	4.5	17362.01081285	1.1347323294091212	1.095286452233888
4.6	4.6	18373.837065460004	1.1476291545865793	1.108069026229447
4.7	4.7	19385.66331807	1.1603826127043133	1.1207057773093037
4.8	4.8	20397.489570680005	1.17299738240663	1.1332015862428377
4.9	4.9	21409.31582329	1.1854778932116847	1.1455610673952756
5.0	5.0	22421.1420759	1.1978283437007493	1.1577885886556176
5.096855542	5.096855542	23627.2036971	1.20967020928322	1.1695097261477416
