damID	depth	storage	outflow_rect	outflow_circ
200008	0.0	0.0	0.0	0.0
200008	0.1	128.74726227899987	0.0	0.0
200008	0.2	257.494524558	0.01897957479043195	0.01846277979244767
200008	0.3	386.24178683700006	0.05673247734394118	0.07100076243266115
200008	0.4	514.9890491159999	0.18927817608549377	0.1368686962919609
200008	0.5	643.736311395	0.21901965146995542	0.17508476989698932
200008	0.6	772.4835736740001	0.24510614604431935	0.20345555928874368
200008	0.7	901.230835953	0.2686390715801114	0.22826068175215408
200008	0.8	1029.978098232	0.2902533813183768	0.25059343056286487
200008	0.9	1158.725360511	0.3103562330620341	0.27107755490073016
200008	1.0	1287.47262279	0.32922774175170166	0.2901103216600958
200008	1.1	1386.9872153479998	0.3470705897122282	0.30796371484592355
200008	1.2	1486.5018079060003	0.36403713016205197	0.32483380973745024
200008	1.203305853	2282.61854837	0.36458449779418983	0.32537652702416925
200009	0.0	0.0	0.0	0.0
200009	0.1	113.24770758699994	0.0	0.0
200009	0.2	226.495415174	0.01897957479043195	0.01846277979244767
200009	0.3	339.743122761	0.05673247734394118	0.07100076243266115
200009	0.4	452.990830348	0.18927817608549377	0.1368686962919609
200009	0.5	566.238537935	0.21901965146995542	0.17508476989698932
200009	0.6	679.486245522	0.24510614604431935	0.20345555928874368
200009	0.7	792.7339531089999	0.2686390715801114	0.22826068175215408
200009	0.8	905.981660696	0.2902533813183768	0.25059343056286487
200009	0.9	1019.229368283	0.3103562330620341	0.27107755490073016
200009	1.0	1132.47707587	0.32922774175170166	0.2901103216600958
200009	1.1	1389.421341633	0.3470705897122282	0.30796371484592355
200009	1.2	1646.365607396	0.36403713016205197	0.32483380973745024
200009	1.3	1903.309873159	0.3802453615572801	0.3408675665130881
200009	1.4	2160.254138922	0.3957889066617685	0.35617854003779476
200009	1.5	2417.198404685	0.41074354133646224	0.37085665286041003
200009	1.544304343	3701.9197335	0.4171974763797393	0.3771768141640468
200013	0.0	0.0	0.0	0.0
200013	0.1	57.37572764790002	0.0	0.0
200013	0.2	114.7514552958	0.01897957479043195	0.01846277979244767
200013	0.3	172.12718294369998	0.05673247734394118	0.07100076243266115
200013	0.4	229.50291059160003	0.18927817608549377	0.1368686962919609
200013	0.5	286.8786382395	0.21901965146995542	0.17508476989698932
200013	0.6	344.2543658874	0.24510614604431935	0.20345555928874368
200013	0.7	401.6300935353	0.2686390715801114	0.22826068175215408
200013	0.8	459.0058211832	0.2902533813183768	0.25059343056286487
200013	0.9	516.3815488311	0.3103562330620341	0.27107755490073016
200013	1.0	573.757276479	0.32922774175170166	0.2901103216600958
200013	1.1	652.0548960791001	0.3470705897122282	0.30796371484592355
200013	1.2	730.3525156792001	0.36403713016205197	0.32483380973745024
200013	1.3	808.6501352792999	0.3802453615572801	0.3408675665130881
200013	1.372648225	1356.73347248	0.39159890220224597	0.3520570286318946
200014	0.0	0.0	0.0	0.0
200014	0.1	46.5634178386	0.0	0.0
200014	0.2	93.12683567719996	0.01897957479043195	0.01846277979244767
200014	0.3	139.6902535158	0.05673247734394118	0.07100076243266115
200014	0.4	186.2536713544	0.18927817608549377	0.1368686962919609
200014	0.5	232.817089193	0.21901965146995542	0.17508476989698932
200014	0.6	279.3805070316	0.24510614604431935	0.20345555928874368
200014	0.7	325.9439248702	0.2686390715801114	0.22826068175215408
200014	0.8	372.5073427088	0.2902533813183768	0.25059343056286487
200014	0.9	419.0707605474	0.3103562330620341	0.27107755490073016
200014	1.0	465.634178386	0.32922774175170166	0.2901103216600958
200014	1.1	503.4271812475	0.3470705897122282	0.30796371484592355
200014	1.2	541.220184109	0.36403713016205197	0.32483380973745024
200014	1.243394755	843.5642070010001	0.3711578160361828	0.3318870330814832
200019	0.0	0.0	0.0	0.0
200019	0.1	64.24487575119997	0.0	0.0
200019	0.2	128.48975150239994	0.01897957479043195	0.01846277979244767
200019	0.3	192.7346272536	0.05673247734394118	0.07100076243266115
200019	0.4	256.9795030048	0.18927817608549377	0.1368686962919609
200019	0.5	321.224378756	0.21901965146995542	0.17508476989698932
200019	0.6	385.4692545072	0.24510614604431935	0.20345555928874368
200019	0.7	449.7141302584	0.2686390715801114	0.22826068175215408
200019	0.8	513.9590060096	0.2902533813183768	0.25059343056286487
200019	0.9	578.2038817608001	0.3103562330620341	0.27107755490073016
200019	1.0	642.4487575119999	0.32922774175170166	0.2901103216600958
200019	1.096720538	833.364555324	0.34650006432727487	0.30739473134652984
200020	0.0	0.0	0.0	0.0
200020	0.1	141.981735844	0.0	0.0
200020	0.2	283.963471688	0.01897957479043195	0.01846277979244767
200020	0.3	425.945207532	0.05673247734394118	0.07100076243266115
200020	0.4	567.9269433759999	0.18927817608549377	0.1368686962919609
200020	0.5	709.90867922	0.21901965146995542	0.17508476989698932
200020	0.6	851.8904150640001	0.24510614604431935	0.20345555928874368
200020	0.7	993.872150908	0.2686390715801114	0.22826068175215408
200020	0.8	1135.853886752	0.2902533813183768	0.25059343056286487
200020	0.9	1277.835622596	0.3103562330620341	0.27107755490073016
200020	1.0	1419.81735844	0.32922774175170166	0.2901103216600958
200020	1.090254602	1740.07222988	0.3453724202893932	0.30626978921506626
200026	0.0	0.0	0.0	0.0
200026	0.1	36.6310889911	0.0	0.0
200026	0.2	73.2621779822	0.01897957479043195	0.01846277979244767
200026	0.3	109.8932669733	0.05673247734394118	0.07100076243266115
200026	0.4	146.5243559644	0.18927817608549377	0.1368686962919609
200026	0.5	183.1554449555	0.21901965146995542	0.17508476989698932
200026	0.6	219.78653394660003	0.24510614604431935	0.20345555928874368
