	depth	storage	outflow_rect	outflow_circ
0.0	0.0	0.0	0.0	0.0
0.1	0.1	33.68868069289999	0.0	0.0
0.2	0.2	67.37736138579999	0.01897957479043195	0.01846277979244767
0.3	0.3	101.0660420787	0.05673247734394118	0.07100076243266115
0.4	0.4	134.7547227716	0.18927817608549377	0.1368686962919609
0.5	0.5	168.4434034645	0.21901965146995542	0.17508476989698932
0.6	0.6	202.1320841574	0.24510614604431935	0.20345555928874368
0.7	0.7	235.8207648503	0.2686390715801114	0.22826068175215408
0.8	0.8	269.5094455432	0.2902533813183768	0.25059343056286487
0.9	0.9	303.1981262361	0.3103562330620341	0.27107755490073016
1.0	1.0	336.886806929	0.32922774175170166	0.2901103216600958
1.1	1.1	473.2901504391001	0.3470705897122282	0.30796371484592355
1.2	1.2	609.6934939492003	0.36403713016205197	0.32483380973745024
1.3	1.3	746.0968374592999	0.3802453615572801	0.3408675665130881
1.4	1.4	882.5001809694002	0.3957889066617685	0.35617854003779476
1.5	1.5	1018.9035244795	0.41074354133646224	0.37085665286041003
1.6	1.6	1155.3068679896	0.4251716301084274	0.38497456731328683
1.7	1.7	1291.7102114997006	0.43912523572720624	0.3985920022087899
1.8	1.8	1428.1135550098002	0.45264835781827945	0.41175875166180215
1.9	1.9	1564.5168985199002	0.4657785817190022	0.4245168538350964
2.0	2.0	1700.92024203	0.47854831717116747	0.43690218534448894
2.1	2.1	1977.056920078	0.4909857451784477	0.4489456571176718
2.2	2.2	2253.1935981260003	0.5031155529725552	0.4606741271935271
2.3	2.3	2529.330276174001	0.514959512353775	0.47211110833994147
2.4	2.4	2805.466954222001	0.5265369403925533	0.4832773242294769
2.5	2.5	3081.60363227	0.537865070497229	0.4941911520206811
2.6	2.6	3357.740310318	0.5489593542949819	0.5048689784917328
2.7	2.7	3633.876988366	0.5598337094763893	0.5153254895200304
2.8	2.8	3910.013666414001	0.5705007249808027	0.5255739075558812
2.9	2.9	4186.150344462	0.5809718321714772	0.5356261880779292
3.0	3.0	4462.28702251	0.5912574486495554	0.5454931833744332
3.1	3.1	4803.613235503	0.6013670998717053	0.5551847800590076
3.2	3.2	5144.939448495999	0.6113095226216764	0.5647100152943737
3.3	3.3	5486.265661489	0.6210927535402321	0.5740771756212107
3.4	3.4	5827.591874482001	0.6307242052697203	0.5832938814730124
3.5	3.5	6168.918087475	0.6402107322680038	0.5923671598328326
3.6	3.6	6510.244300468001	0.6495586879553225	0.6013035070047056
3.7	3.7	6851.570513461001	0.6587739745499279	0.6101089430959057
3.782840813	3.782840813	7875.54915244	0.6663114528957632	0.6173082990064448
