gen_num,num_of_occurr,num_of_unique_res,max_res_in_subset,min_res_in_subset,avg_res_in_subset
191,46002.0,817,195,23,102.91275167785236
192,46977.0,824,195,23,105.09395973154362
193,45303.0,826,198,23,101.3489932885906
194,43927.0,832,199,23,98.27069351230425
195,43969.0,824,201,23,98.36465324384787
196,43792.0,811,201,23,97.96868008948546
197,44089.0,801,201,23,98.6331096196868
198,43396.0,815,201,23,97.08277404921701
199,41911.0,812,201,23,93.76062639821029
200,43411.0,821,201,23,97.11633109619687
