subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_1610226,160.82151794433594,3.8120269775390634,89048.16711796717,10011.69653026,0,inf
_1770145,160.45623779296875,4.17730712890625,89179.6257878906,11105.31303276,0,0.014882627955490899
_1780148,160.41107177734375,4.22247314453125,100312.04190613751,11513.12790556,0,0.00921039526480957
_1790184,160.28712463378906,4.3464202880859375,105887.60674758287,11773.18070906,0,0.006689949020918278
_1770029,160.26255798339844,4.3709869384765625,109502.728633865,13138.43039076,0,0.005232499895654405
_1790168,160.1836700439453,4.449874877929688,114533.12629374488,13598.54223306,0,0.01665017324480134
_1790107,159.80096435546875,4.83258056640625,121829.04551301945,23525.86571276,0,0.016594291002291532
_1790056,159.77503967285156,4.8585052490234375,132714.7663425915,15856.670132100002,0,0.01080723720239488
_1790129,159.60879516601562,5.024749755859375,142152.14835899384,25558.98307076,0,0.01573072112524531
_1710227,159.4499969482422,5.1835479736328125,157098.01440011148,17640.330417759997,0,0.022166657933683685
_1790026,158.993896484375,5.6396484375,158519.80320596867,18587.7421676,0,0.02089602036475835
_1750095,158.890380859375,5.7431640625,174825.30473068607,26828.93093406,0,0.00792554424501138
_1760119,158.88043212890625,5.75311279296875,176573.70551305203,28025.8516776,0,0.009284534007978486
_1770031,158.66140747070312,5.972137451171875,184958.50953600436,32180.9781036,0,0.017687541797932332
_1760385,158.35134887695312,6.282196044921875,185225.97197937715,31989.2438099,0,0.010831742306003252
_1790157,158.3130645751953,6.320480346679688,187466.0515131628,32027.24403397,0,0.0023698758633488785
_1790142,158.29443359375,6.339111328125,187987.963082331,32277.9201423,0,0.00853986630855664
_1750152,158.08055114746094,6.552993774414063,194274.2411587152,34296.0908498,0,0.010932467953844394
_1790047,158.07154846191406,6.5619964599609375,205279.1328874771,34529.040147,0,0.04090447208863788
_1740084,156.77931213378906,7.8542327880859375,205375.2319380279,29119.81232434,0,0.04095051676684927
_1760382,156.76718139648438,7.866363525390625,216201.85583707417,30821.51924534,0,0.004488210681385774
_1790098,156.74757385253906,7.8859710693359375,219328.397219852,30965.53175014,0,0.005237745465171808
_1760328,156.65611267089844,7.977432250976562,223994.66944137064,31179.26177204,0,0.0051258238882090044
_1790117,156.64523315429688,7.988311767578125,227683.51241396973,31391.41461974,0,0.005183431914156248
_1780037,156.52255249023438,8.110992431640625,228995.0275483053,31926.66524534,0,0.011313222849316682
_1790030,156.2857208251953,8.347824096679688,230797.3732551196,33803.96241534,0,0.014046289118418879
_1790206,156.11305236816406,8.520492553710938,237089.0580332741,33469.00197834,0,0.03557838541401054
_1750069,155.1905975341797,9.442947387695312,244660.23753253173,30275.20559354,0,0.05828809852089146
_1780102,154.18984985351562,10.443695068359377,244998.5352095858,34047.842975399995,0,0.031428913810945334
_1710279,154.18963623046875,10.44390869140625,253057.1495702095,34182.9705538,0,0.004862503438975954
_1780212,154.1865997314453,10.446945190429688,263686.1996912615,34533.4827057,0,0.008636170026568033
_1790198,154.04379272460938,10.589752197265623,270183.04224494926,41109.8244214,0,0.03608437472729588
_1790016,153.08897399902344,11.544570922851562,279245.4746470088,35885.185668540005,0,0.0535226221535589
_1740136,152.53958129882812,12.093963623046877,307466.66861217056,50525.0606312,0,0.025336973059710388
_1760229,152.53933715820312,12.094207763671877,315525.28297279426,50660.1882096,0,0.003337089427571678
_1780128,152.5279541015625,12.1055908203125,319214.12594539335,50872.34105730001,0,0.0052417514670847825
_1770140,152.418701171875,12.21484375,322236.5270800312,51888.82868119999,0,0.01192283833523558
_1770047,152.19520568847656,12.438339233398438,327787.1684014168,55884.9654982,0,0.01053995282913868
_1760391,152.12486267089844,12.508682250976562,329851.4181879836,55996.547225,0,0.005147018194120911
_1770128,152.08192443847656,12.551620483398438,334970.586924802,50182.09805836999,0,0.00666161383350573
_1760175,152.06114196777344,12.572402954101562,348655.9841721202,53667.6043402,0,0.018693122305391417
_1780062,151.5941619873047,13.039382934570312,352303.70402732614,52289.37280737,0,0.018516206386615983
_1790072,151.47865295410156,13.154891967773438,354431.3892430972,59500.188087,0,0.0070941960638393866
_1750108,151.41929626464844,13.214248657226562,360056.6779250364,52394.78692617,0,0.009614494941852333
_1790138,151.30140686035156,13.332138061523438,371790.6226345183,54744.92228917,0,0.027704067246538875
_1780012,150.95111083984375,13.68243408203125,414956.8994673704,56555.35632897,0,0.047128487879146835
_1780013,150.1330108642578,14.500534057617188,422524.8113276212,68872.00458197,0,0.029833115832961603
_1790222,150.12872314453125,14.50482177734375,437579.1481626452,70450.17205097,0,0.008055334746421053
_1790032,149.996337890625,14.63720703125,438425.6719440278,69448.98698757001,0,0.020830698784471944
_1780034,149.66712951660156,14.966415405273438,466292.6167517082,72624.75911197001,0,0.019812580234230867
_1740031,149.6592254638672,14.974319458007812,477425.0328699551,73032.57398477,0,0.005248769794948972
_1790172,149.63125610351562,15.002288818359377,482752.8215239076,74253.44597177002,0,0.003345944540882305
_1790104,149.6294403076172,15.004104614257812,487124.6583961714,75118.31180297,0,0.005974250597639331
_1760123,149.51925659179688,15.114288330078123,493325.8934863617,73609.55639037,0,0.006442114026224323
_1790156,149.46954345703125,15.16400146484375,494038.3352698111,73665.50349389,0,0.0022800820243987887
_1770075,149.46707153320312,15.166473388671877,496278.4148035968,73703.50371796002,0,0.005539051512862018
_1780133,149.34463500976562,15.288909912109377,501424.9493364519,80712.29721677002,0,0.007461160401065017
_1770200,149.32794189453125,15.30560302734375,509568.4284583303,75965.45478327,0,0.010955686229757525
_1790133,149.0456085205078,15.587936401367188,510074.4525950839,85453.12666477002,0,0.01045767620070952
_1790070,148.98190307617188,15.651641845703123,510873.9322216423,76685.94688796,0,0.007033994194424829
_1770205,148.86956787109375,15.76397705078125,517456.6897182616,75884.20518537001,0,0.0076799943046455665
_1760285,148.83364868164062,15.799896240234377,523975.226670419,80531.21584267002,0,0.01903806570754816
_1780027,148.38311767578125,16.25042724609375,536292.4460989431,81559.45751467001,0,0.01846903925186422
_1790108,148.33389282226562,16.299652099609375,539054.4372018969,81848.13384707001,0,0.010268713307598354
_1770141,148.0817108154297,16.551834106445312,541976.0934400561,79194.35603517001,0,0.009394875464902776
_1790012,148.0623321533203,16.571212768554688,544735.8167775385,79972.62183447,0,0.004979787264416894
_1790170,148.01356506347656,16.619979858398438,553680.5933810903,83432.98739567002,0,0.009117858106547914
_1770021,147.84417724609375,16.78936767578125,555456.4478040285,89773.79164713,0,0.012977275152495063
_1750032,147.5967559814453,17.036788940429688,556745.9519079167,80558.12408517,0,0.01065326999359489
_1780035,147.58837890625,17.045166015625,567878.3680261637,80965.93895797,0,0.010113274030353944
_1760124,147.3728485107422,17.260696411132812,570708.7287491828,82315.64124917,0,0.007531386417439047
_1790192,147.37261962890625,17.26092529296875,572654.9786100114,82373.69737663,0,0.014370867008029715
_1780134,147.05088806152344,17.582656860351562,590115.0213037898,86983.13526017,0,0.01675513950471797
_1790002,147.0479736328125,17.5855712890625,601099.323067196,87550.37943547001,0,0.009453231108788755
_1790143,146.86109924316406,17.772445678710938,605403.5905347457,97929.8315645,0,0.028637016888321716
_1740057,146.2346954345703,18.398849487304688,620077.7808195105,99613.1392609,0,0.029431153884178114
_1770085,146.05213928222656,18.58140563964844,627990.2289059311,100469.2514352,0,0.014489176679800736
_1790124,145.90869140625,18.724853515625,639484.0733741175,104280.63327190002,0,0.008012542444739281
