damID	depth	storage	outflow_rect	outflow_circ	endTerms
200008	0.0	0.0	0.0	0.0	0.0
200008	0.1	128.74726227899987	0.0	0.0	4.291575409299996
200008	0.2	257.494524558	0.0189795747904319	0.0184627797924476	8.602130393390432
200008	0.3	386.24178683700006	0.0567324773439411	0.0710007624326611	12.931458705243942
200008	0.4	514.9890491159999	0.1892781760854937	0.1368686962919609	17.35557981328549
200008	0.5	643.736311395	0.2190196514699554	0.1750847698969893	21.67689669796996
200008	0.6	772.4835736740001	0.2451061460443193	0.2034555592887436	25.99455860184432
200008	0.7	901.230835953	0.2686390715801114	0.228260681752154	30.30966693668011
200008	0.8	1029.978098232	0.2902533813183768	0.2505934305628648	34.62285665571838
200008	0.9	1158.725360511	0.3103562330620341	0.2710775549007301	38.93453491676203
200008	1.0	1287.47262279	0.3292277417517016	0.2901103216600958	43.244981834751705
200008	1.1	1386.9872153479998	0.3470705897122282	0.3079637148459235	46.579977767978896
200008	1.2	1486.5018079060003	0.3640371301620519	0.3248338097374502	49.9140973936954
200008	1.203305853	2282.61854837	0.3645844977941898	0.3253765270241692	76.45186944346085
200009	0.0	0.0	0.0	0.0	0.0
200009	0.1	113.24770758699994	0.0	0.0	3.774923586233331
200009	0.2	226.495415174	0.0189795747904319	0.0184627797924476	7.5688267472570985
200009	0.3	339.743122761	0.0567324773439411	0.0710007624326611	11.38150323604394
200009	0.4	452.990830348	0.1892781760854937	0.1368686962919609	15.288972521018827
200009	0.5	566.238537935	0.2190196514699554	0.1750847698969893	19.09363758263662
200009	0.6	679.486245522	0.2451061460443193	0.2034555592887436	22.894647663444317
200009	0.7	792.7339531089999	0.2686390715801114	0.228260681752154	26.693104175213442
200009	0.8	905.981660696	0.2902533813183768	0.2505934305628648	30.48964207118504
200009	0.9	1019.229368283	0.3103562330620341	0.2710775549007301	34.28466850916203
200009	1.0	1132.47707587	0.3292277417517016	0.2901103216600958	38.07846360408503
200009	1.1	1389.421341633	0.3470705897122282	0.3079637148459235	46.661115310812235
200009	1.2	1646.365607396	0.3640371301620519	0.3248338097374502	55.242890710028725
200009	1.3	1903.309873159	0.3802453615572801	0.3408675665130881	63.82390780019061
200009	1.4	2160.254138922	0.3957889066617685	0.3561785400377947	72.40426020406177
200009	1.5	2417.198404685	0.4107435413364622	0.37085665286041	80.98402369750312
200009	1.544304343	3701.9197335	0.4171974763797393	0.3771768141640468	123.81452192637974
200013	0.0	0.0	0.0	0.0	0.0
200013	0.1	57.37572764790002	0.0	0.0	1.9125242549300008
200013	0.2	114.7514552958	0.0189795747904319	0.0184627797924476	3.8440280846504318
200013	0.3	172.12718294369998	0.0567324773439411	0.0710007624326611	5.794305242133941
200013	0.4	229.50291059160003	0.1892781760854937	0.1368686962919609	7.839375195805495
200013	0.5	286.8786382395	0.2190196514699554	0.1750847698969893	9.781640926119955
200013	0.6	344.2543658874	0.2451061460443193	0.2034555592887436	11.72025167562432
200013	0.7	401.6300935353	0.2686390715801114	0.228260681752154	13.65630885609011
200013	0.8	459.0058211832	0.2902533813183768	0.2505934305628648	15.590447420758377
200013	0.9	516.3815488311	0.3103562330620341	0.2710775549007301	17.523074527432033
200013	1.0	573.757276479	0.3292277417517016	0.2901103216600958	19.454470291051702
200013	1.1	652.0548960791001	0.3470705897122282	0.3079637148459235	22.082233792348898
200013	1.2	730.3525156792001	0.3640371301620519	0.3248338097374502	24.70912098613539
200013	1.3	808.6501352792999	0.3802453615572801	0.3408675665130881	27.335249870867276
200013	1.372648225	1356.73347248	0.3915989022022459	0.3520570286318946	45.61604798486891
200014	0.0	0.0	0.0	0.0	0.0
200014	0.1	46.5634178386	0.0	0.0	1.5521139279533334
200014	0.2	93.12683567719996	0.0189795747904319	0.0184627797924476	3.1232074306970974
200014	0.3	139.6902535158	0.0567324773439411	0.0710007624326611	4.713074261203942
200014	0.4	186.2536713544	0.1892781760854937	0.1368686962919609	6.397733887898827
200014	0.5	232.817089193	0.2190196514699554	0.1750847698969893	7.979589291236622
200014	0.6	279.3805070316	0.2451061460443193	0.2034555592887436	9.55778971376432
200014	0.7	325.9439248702	0.2686390715801114	0.228260681752154	11.133436567253446
200014	0.8	372.5073427088	0.2902533813183768	0.2505934305628648	12.707164804945045
200014	0.9	419.0707605474	0.3103562330620341	0.2710775549007301	14.279381584642035
200014	1.0	465.634178386	0.3292277417517016	0.2901103216600958	15.850367021285034
200014	1.1	503.4271812475	0.3470705897122282	0.3079637148459235	17.12797663129556
200014	1.2	541.220184109	0.3640371301620519	0.3248338097374502	18.404709933795388
200014	1.243394755	843.5642070010001	0.3711578160361828	0.3318870330814832	28.489964716069522
200019	0.0	0.0	0.0	0.0	0.0
200019	0.1	64.24487575119997	0.0	0.0	2.1414958583733323
200019	0.2	128.48975150239994	0.0189795747904319	0.0184627797924476	4.301971291537097
200019	0.3	192.7346272536	0.0567324773439411	0.0710007624326611	6.481220052463941
200019	0.4	256.9795030048	0.1892781760854937	0.1368686962919609	8.755261609578827
200019	0.5	321.224378756	0.2190196514699554	0.1750847698969893	10.926498943336622
200019	0.6	385.4692545072	0.2451061460443193	0.2034555592887436	13.094081296284319
200019	0.7	449.7141302584	0.2686390715801114	0.228260681752154	15.259110080193445
200019	0.8	513.9590060096	0.2902533813183768	0.2505934305628648	17.42222024830504
200019	0.9	578.2038817608001	0.3103562330620341	0.2710775549007301	19.583818958422036
200019	1.0	642.4487575119999	0.3292277417517016	0.2901103216600958	21.744186325485032
200019	1.096720538	833.364555324	0.3465000643272748	0.3073947313465298	28.125318575127274
