subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,n,rank,distance,subsetID.1,orig_subsetID
u_400057,161.8752899169922,2.7582550048828125,12142.075525179218,10922.657701,0.0,0,inf,400057.0,u_400057
u_020129,161.84507751464844,2.7884674072265625,13659.446262996116,14636.33285,0.0,0,0.027353244292987,20129.0,u_020129
u_500225,161.38812255859375,3.24542236328125,19570.15354341025,14376.871271,0.0,0,0.0289438863226805,500225.0,u_500225
u_200001,161.3037567138672,3.3297882080078125,19788.793844207623,33264.312291,0.0,0,0.0206608822323467,200001.0,u_200001
u_390100,160.9883270263672,3.645217895507813,23048.253490689887,18099.735824,0.0,0,0.0270088556581709,390100.0,u_390100
u_110235,160.81820678710938,3.815338134765625,26820.6768153887,22331.287185,0.0,0,0.044089141321596,110235.0,u_110235
u_160054,160.12185668945312,4.511688232421875,29576.985598111867,23711.1593872,0.0,0,0.0671701131339381,160054.0,u_160054
u_470286,159.47068786621094,5.162857055664063,34927.881047780815,26161.4379442,0.0,0,0.0610485755532305,470286.0,u_470286
u_420180,159.09616088867188,5.537384033203125,50283.311553621,36784.8119848,0.0,0,0.0686251589084339,420180.0,u_420180
u_440296,158.21031188964844,6.4232330322265625,51007.24963732571,48208.0861992,0.0,0,0.0699853676257685,440296.0,u_440296
u_400151,157.72213745117188,6.911407470703125,60739.08097692059,60516.7452132,0.0,0,0.0493956404320667,400151.0,u_400151
u_500319,157.33999633789062,7.293548583984375,65053.2959055198,57458.1594352,0.0,0,0.0254545967022536,500319.0,u_500319
d_290145,163.2586669921875,1.3748779296875,65473.74067746222,25200.639617000004,0.0,0,inf,290145.0,d_290145
d_490309,163.25827026367188,1.375274658203125,67106.41911685011,24618.087243600003,0.0,0,0.0425801033283795,490309.0,d_490309
u_450336,157.2646484375,7.368896484375,67374.30235503166,59169.48112619999,0.0,0,0.0085647016181646,450336.0,u_450336
u_500056,157.2176971435547,7.415847778320312,69405.79913359485,61154.1825152,0.0,0,0.0487042709725541,500056.0,u_500056
d_480108,162.81930541992188,1.814239501953125,70275.96150919466,37223.349813600005,0.0,0,0.0606108256242724,480108.0,d_480108
u_500126,156.30763244628906,8.325912475585938,74596.76974099259,48703.8986599,0.0,0,0.0741826696174444,500126.0,u_500126
d_500213,162.78292846679688,1.850616455078125,88433.33227497332,40291.057770700005,0.0,0,0.0566379794573109,500213.0,d_500213
u_390231,155.9119110107422,8.721633911132812,90584.6124740773,81674.62568100002,0.0,0,0.0523734999198183,390231.0,u_390231
d_380222,162.4319610595703,2.2015838623046875,95693.64602876184,40451.73799467,0.0,0,0.0670876450881419,380222.0,d_380222
u_310083,155.5157470703125,9.1177978515625,98262.26566483622,76263.72941300001,0.0,0,0.0423188190641672,310083.0,u_310083
m_420026,161.54840087890625,3.08514404296875,98700.66994802705,14579.23422596,,0,inf,,m_420026
u_420248,155.15975952148438,9.473785400390623,102181.04621646593,79141.247212,0.0,0,0.0296933903106981,420248.0,u_420248
d_420044,162.15594482421875,2.47760009765625,102301.08610705682,40872.87181329999,0.0,0,0.0340242546731295,420044.0,d_420044
d_440207,162.14907836914062,2.484466552734375,106116.11810964748,39958.82249597,0.0,0,0.0227779659941737,440207.0,d_440207
d_500124,161.9679718017578,2.6655731201171875,109414.3439166845,41697.48489957,0.0,0,0.0246289686228514,500124.0,d_500124
d_340178,161.92698669433594,2.7065582275390625,111987.83752164702,46366.77811096999,0.0,0,0.0098867939903895,340178.0,d_340178
d_280170,161.8866424560547,2.7469024658203125,112527.01299115064,44583.93972867,0.0,0,0.0312106855473892,280170.0,d_280170
u_500091,155.09194946289062,9.541595458984377,113366.08598935812,114367.649511,0.0,0,0.0257487916425404,500091.0,u_500091
m_300074,161.33006286621094,3.3034820556640625,113477.3961606388,17186.9022591,,0,0.0315246592266759,,m_300074
d_490266,161.59817504882812,3.035369873046875,114854.54730005564,42192.8931012,0.0,0,0.0386648557516916,490266.0,d_490266
m_320118,160.91873168945312,3.714813232421875,116690.33384561675,17109.777024099996,,0,0.027016002991005,,m_320118
u_490238,154.8369140625,9.796630859375,118271.0197856636,86065.602415,0.0,0,0.0345510361769011,490238.0,u_490238
u_500335,154.4798583984375,10.1536865234375,122967.99524204303,92236.328114,0.0,0,0.0242895719996633,500335.0,u_500335
m_500074,160.75506591796875,3.87847900390625,125677.1949919624,17946.863864259998,,0,0.0128061579759857,,m_500074
d_480150,161.58200073242188,3.051544189453125,125995.55825808874,44229.707479,0.0,0,0.0159708727988308,480150.0,d_480150
m_490348,160.7139892578125,3.9195556640625,128639.25715123376,16435.0460189,,0,0.0143103061602138,,m_490348
d_440040,161.55845642089844,3.0750885009765625,128733.53293769612,44697.51636329999,0.0,0,0.0511140077178976,440040.0,d_440040
u_470220,154.4753875732422,10.158157348632812,129630.59150870432,106441.331189,0.0,0,0.0370274187096589,470220.0,u_470220
u_430339,153.8477325439453,10.785812377929688,134855.55445795006,86211.37311200002,0.0,0,0.0579106258973114,430339.0,u_430339
m_430140,160.48880004882812,4.144744873046875,135622.3609364231,20941.5575229,,0,0.0293905173867398,,m_430140
d_460297,161.10313415527344,3.5304107666015625,136448.56256227376,59486.22756299999,0.0,0,0.0606185678204884,460297.0,d_460297
d_480004,160.98895263671875,3.64459228515625,140976.4485096776,59562.1383692,0.0,0,0.0343105309597231,480004.0,d_480004
m_130031,160.09619140625,4.537353515625,142614.79182241467,22659.887643499995,,0,0.0279402811092739,,m_130031
d_370241,160.78077697753906,3.8527679443359375,143376.7787671534,55806.9230201,0.0,0,0.040602878958873,370241.0,d_370241
u_490153,153.438720703125,11.19482421875,145003.96003354422,90348.025603,0.0,0,0.0620762960558694,490153.0,u_490153
m_350225,159.8750457763672,4.7584991455078125,146504.3214720023,20005.8378112,,0,0.0319280314821099,,m_350225
d_480198,160.58526611328125,4.04827880859375,147030.49757369093,70426.3312686,0.0,0,0.033984663356182,480198.0,d_480198
u_490311,152.71719360351562,11.916351318359377,150041.1820406043,69788.91892689999,0.0,0,0.0461619640633012,490311.0,u_490311
d_370163,160.48550415039062,4.148040771484375,152558.905983951,51755.41695100001,0.0,0,0.047458329199766,370163.0,d_370163
m_360238,159.43663024902344,5.1969146728515625,158849.42329226533,22254.3968427,,0,0.0514836633615034,,m_360238
d_410019,160.17103576660156,4.4625091552734375,159670.23137111284,65285.08706400001,0.0,0,0.0471287081200728,410019.0,d_410019
u_470078,152.6768798828125,11.9566650390625,161581.95155527545,75602.2472819,0.0,0,0.0285649365457925,470078.0,u_470078
u_440235,152.42950439453125,12.20404052734375,172613.47977992066,70003.8619344,0.0,0,0.0235979531845129,440235.0,u_440235
d_410076,160.16404724121094,4.469497680664063,173791.53750515482,65021.7882615,0.0,0,0.0211071306627653,410076.0,d_410076
d_410150,160.08836364746094,4.545181274414063,175098.45052976048,76553.4507375,0.0,0,0.0224726884131523,410150.0,d_410150
d_460141,159.94131469726562,4.692230224609375,177209.70047251278,73900.78814671001,0.0,0,0.0240888492797564,460141.0,d_460141
u_500137,152.41262817382812,12.220916748046877,178447.44843461705,89413.3138179,0.0,0,0.0362199019155275,500137.0,u_500137
u_450194,151.75302124023438,12.880523681640623,180345.08519907267,79293.7630109,0.0,0,0.0493789187476727,450194.0,u_450194
m_480041,158.90957641601562,5.723968505859375,181598.6601217379,25165.4796594,,0,0.0434451258423272,,m_480041
m_490059,158.5510711669922,6.0824737548828125,182023.90559696383,27274.3661074,,0,0.0354850691038038,,m_490059
d_420126,159.93971252441406,4.6938323974609375,187462.7444568333,73522.8561896,0.0,0,0.0121120778698609,420126.0,d_420126
d_490333,159.9095458984375,4.7239990234375,187576.3042386244,69967.47174400001,0.0,0,0.0150544331931134,490333.0,d_490333
