subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_140015,162.19801330566406,2.435531616210937,112507.85694295749,21615.834681300003,0,inf
_190060,161.93777465820312,2.695770263671875,120680.27583110108,22466.700922400003,0,0.02290629010689196
_170018,161.87147521972656,2.762069702148437,124233.06320294183,22314.1424144,0,0.01634452058284317
_150067,161.80560302734375,2.82794189453125,142153.6847441263,32586.1672013,0,0.053857065774273516
_180034,161.0369110107422,3.5966339111328125,143116.09099394118,25044.4415104,0,0.07873376928332923
_130045,160.7255401611328,3.908004760742188,187956.8560494974,35484.304684300005,0,0.04094225345774718
_140088,160.65969848632812,3.973846435546875,190909.3773667325,35578.25201189,0,0.00785154007717765
_200056,160.6205596923828,4.012985229492188,192878.87446332903,35433.939752399994,0,0.006510635908279964
_190084,160.6083221435547,4.0252227783203125,199628.47277437837,39017.37448789,0,0.008781745093904229
_160008,160.53424072265625,4.09930419921875,202426.78689569575,36407.67260489,0,0.026193867022816595
_200053,160.25979614257812,4.373748779296875,216270.5409344356,37996.361557300006,0,0.03883465149943789
_190079,160.20606994628906,4.4274749755859375,251610.79367754603,38959.16383449,0,0.06706096582298929
_110022,159.32980346679688,5.303741455078125,253975.8043439237,49356.1072398,0,0.061286961416447974
_180100,159.21458435058594,5.418960571289063,267666.4948372103,49935.7328494,0,0.015765551390095073
_160107,159.1749725341797,5.4585723876953125,271134.3015046419,51698.8969118,0,0.014516141363788182
_130105,158.984619140625,5.64892578125,272102.898693284,50442.0246518,0,0.01297745796849633
_200014,158.97470092773438,5.658843994140625,275791.741665883,50654.1774995,0,0.03487319808439677
_200005,158.44039916992188,6.193145751953125,283832.28731676086,52120.0484166,0,0.036585274353299294
_170089,158.375732421875,6.2578125,284453.1169461403,52652.4006342,0,0.009085380298170739
_190041,158.3616485595703,6.271896362304688,295082.16706719226,53002.9127861,0,0.019501952357510843
_200098,158.22145080566406,6.4120941162109375,310519.72193207627,55169.37527619999,0,0.027871074362871152
_130110,158.05838012695312,6.575164794921875,321574.21076969604,55444.9738426,0,0.02520480067555638
_200012,157.92788696289062,6.705657958984375,331967.51350955875,55714.0479812,0,0.04087452211287747
_160047,157.4037628173828,7.2297821044921875,333145.62747174525,57308.4687236,0,0.04916166178193646
_190054,157.07525634765625,7.55828857421875,337397.20063705207,58389.08699559999,0,0.032075582842051614
_180098,157.05690002441406,7.5766448974609375,363914.33852901065,60044.11348859999,0,0.016176489907306673
_190104,157.0259246826172,7.607620239257812,369242.1271829632,61264.98547559999,0,0.01149177957017894
_180011,156.89378356933594,7.7397613525390625,369888.1493404728,61013.83861969999,0,0.06625453265354453
_180074,156.7998809814453,7.833663940429687,496551.13614522375,92856.3192946,0,0.06681496980832628
_200103,156.67478942871094,7.9587554931640625,499439.0277206842,82563.18081949999,0,0.02206704837553925
_190064,156.49510192871094,8.138442993164062,509120.1116049175,92210.256507,0,0.02091260764152541
_200044,156.4883270263672,8.145217895507812,524658.480819081,92771.7811087,0,0.06507486283652149
_200040,156.08241271972656,8.551132202148438,609375.8824256959,101177.147388,0,0.07592984477390406
_180087,156.07765197753906,8.555892944335938,650848.4382625201,100584.6012874,0,0.02593375731285796
_180007,156.02914428710938,8.604400634765625,663785.267870844,98767.6231058,0,0.014081272585373148
_180073,155.9547882080078,8.678756713867188,668179.1893365049,102498.944944,0,0.01158256712922785
_200026,155.947021484375,8.6865234375,680502.694575812,103297.91918029998,0,0.02245520973872795
_200076,155.68902587890625,8.94451904296875,686738.2198737827,118276.9638606,0,0.05094759380599842
_170067,155.3474884033203,9.286056518554688,723057.986339998,111250.9459654,0,0.04589847625422875
_180078,155.22364807128906,9.409896850585938,734791.9310494798,113601.0813284,0,0.024108679176893015
_190077,155.1214599609375,9.5120849609375,750692.7916658864,114178.063734,0,0.02326142000873609
_160071,154.95445251464844,9.679092407226562,754811.3647087504,124304.4942734,0,0.06993502264705016
