gen_num,diversity_within
0,0.03741343646011332
1,0.0323494079286082
2,0.04046890927624872
3,0.04077408672254993
4,0.031698726632348954
5,0.03147490643892141
6,0.03396067711071391
7,0.030748534640146055
8,0.030285210232284622
9,0.03767003836763167
10,0.032820097244732574
11,0.0264659582841401
12,0.02413454188052856
13,0.026350461133069828
14,0.026956418477615485
15,0.024028512301678545
16,0.024180006716668534
17,0.022354366259222554
18,0.019619643716899376
19,0.020147183013632525
20,0.023625429553264604
21,0.020489690721649485
22,0.02030581039755352
23,0.014770057066129574
24,0.01579871269748391
25,0.017295795985355383
26,0.02002045886307175
27,0.016333495855680155
28,0.018537291817523532
29,0.019272886552781428
30,0.020498699709346795
31,0.019201121233356693
32,0.022077509529860227
33,0.023236235056406804
34,0.02020497803806735
35,0.01864706682999864
36,0.018728639781271362
37,0.021863117870722433
38,0.020174165457184326
39,0.017139408569704286
40,0.018308746048472074
41,0.017882413482567864
42,0.018727082242011524
43,0.019447016801164174
44,0.020167589830989915
45,0.019117233623840314
46,0.01817180616740088
47,0.0182566918325326
48,0.018564356435643563
49,0.017252820172528202
50,0.018184285520423397
51,0.01728427392955349
52,0.01885402857563706
53,0.018969012452939474
54,0.017451084082496033
55,0.01954932099686614
56,0.019667389732465655
57,0.017508502330268294
58,0.018466852663743854
59,0.01978392030307282
60,0.02001779359430605
61,0.0203324428613832
62,0.021395348837209303
63,0.018657224567615417
64,0.020312728335525353
65,0.019006244909041542
66,0.0198882985969214
67,0.020535334938393997
68,0.021563737714537186
69,0.02265705458290422
70,0.01920457640969763
71,0.020435362061306087
72,0.019866629619338706
73,0.02099125364431487
74,0.020080862533692723
75,0.018734761965866802
76,0.018832626590172114
77,0.01936690263122746
78,0.018373729476153244
79,0.019335187392398357
80,0.018858108986864353
81,0.01943095072866065
82,0.020954598370197905
83,0.020983125458547323
84,0.019476905954368393
85,0.018978700163844894
86,0.020962503690581637
87,0.020428861199652273
88,0.02012560662289466
89,0.02022995197205647
90,0.01952679589509692
91,0.019497825782017114
92,0.017838266384778013
93,0.01784308580425085
94,0.016363398350569446
95,0.018962222548875494
96,0.01791373845941849
97,0.017940822064533405
98,0.016888297872340426
99,0.016686690695501268
100,0.01697180275290659
