gen_num,diversity_within
0,0.022869325064198847
1,0.02043113150376591
2,0.019995763609404787
3,0.019183472700442697
4,0.019507663725034836
5,0.018604838061560717
6,0.01789139881767999
7,0.01895694666779004
8,0.01845368043827491
9,0.017559192753853488
10,0.01694849064708869
11,0.01788107202680067
12,0.017630876958986328
13,0.01724987678659438
14,0.01726334826749969
15,0.016755521706016754
16,0.018286219081272086
17,0.01934327231553123
18,0.018127026163188894
19,0.016656071201525745
20,0.01562247699015017
21,0.01624052635962355
22,0.017193829182108076
23,0.016728545214014425
24,0.018424753867791844
25,0.017988887876855816
26,0.019127698283916014
27,0.0174030051581072
28,0.01689021361152509
29,0.017559821672277317
30,0.017322055250607395
31,0.017719259093952243
32,0.019227989012577707
33,0.018150623081090844
34,0.015973661748567246
35,0.017329482337258388
36,0.01613631697803326
37,0.016621667229159635
38,0.017173979883164228
39,0.01761034329023629
40,0.01792242532322782
41,0.01694915254237288
42,0.017766844335110017
43,0.016675978854171145
44,0.01767630270668385
45,0.01667456590115903
46,0.019001346930921686
47,0.018553758325404377
48,0.018097066081710994
49,0.0187565959896383
50,0.017672840378905697
51,0.016308706888869085
52,0.01810765098000199
53,0.015052871656645242
54,0.015686618175444745
55,0.01605952002903416
56,0.01606335853953197
57,0.016736010471693704
58,0.016186889068245
59,0.01619086276101565
60,0.014663491665622258
61,0.014578327971657775
62,0.015641807099318752
63,0.015123302602298015
64,0.01495124593716143
65,0.01567698126965319
66,0.015023802244835568
67,0.014614703277236492
68,0.016302846090080134
69,0.016131972293109732
70,0.014459728206827975
71,0.014797507788161994
72,0.015049504950495049
73,0.01600804976216612
74,0.015750182083029862
75,0.014826731597025957
76,0.014407030292788035
77,0.015275576686036274
78,0.016350433356758023
79,0.016163334751169715
80,0.01669840339827157
81,0.017089360015851
82,0.015890511619362543
83,0.016392668178382464
84,0.015513664652295481
85,0.014642967406165924
86,0.014560536533709848
87,0.013935027395487295
88,0.01387318430895016
89,0.013989659816657254
90,0.013755393224828058
91,0.014761968860770852
92,0.014142475589999563
93,0.016500837355925526
94,0.0157563529807369
95,0.016262941980855636
96,0.014554381657972031
97,0.015046348125923604
98,0.014222922541051584
99,0.014415814234537529
100,0.015542846600867079
101,0.0141128187947569
