gen_num,diversity_within,total,num_of_new_from_prev_1,num_of_lost_from_prev_1,num_of_kept_from_prev_1,num_of_inherited_from_prev_1,perc_new_from_prev_1,perc_lost_from_prev_1,perc_inherited_from_prev_1
0,0.0228693250641988,472,0,0,0,,,,
1,0.0204311315037659,472,0,0,0,472.0,0.0,0.0,100.0
2,0.0199957636094047,472,0,0,0,472.0,0.0,0.0,100.0
3,0.0191834727004426,468,0,4,0,468.0,0.0,0.8547008547008547,100.0
4,0.0195076637250348,462,1,7,0,461.0,0.21645021645021645,1.5151515151515151,99.78354978354979
5,0.0186048380615607,463,3,2,0,460.0,0.6479481641468683,0.4319654427645788,99.35205183585313
6,0.0178913988176799,457,2,8,0,455.0,0.437636761487965,1.75054704595186,99.56236323851203
7,0.01895694666779,450,5,12,0,445.0,1.1111111111111112,2.6666666666666665,98.88888888888889
8,0.0184536804382749,448,8,10,0,440.0,1.7857142857142858,2.232142857142857,98.21428571428571
9,0.0175591927538534,442,6,12,0,436.0,1.3574660633484164,2.7149321266968327,98.64253393665159
10,0.0169484906470886,434,12,20,0,422.0,2.7649769585253456,4.608294930875576,97.23502304147465
11,0.0178810720268006,427,7,14,0,420.0,1.639344262295082,3.278688524590164,98.36065573770492
12,0.0176308769589863,423,11,15,0,412.0,2.600472813238771,3.5460992907801416,97.39952718676123
13,0.0172498767865943,420,16,19,0,404.0,3.8095238095238093,4.523809523809524,96.19047619047619
14,0.0172633482674996,420,15,15,0,405.0,3.5714285714285716,3.5714285714285716,96.42857142857143
15,0.0167555217060167,418,20,22,0,398.0,4.784688995215311,5.2631578947368425,95.2153110047847
16,0.018286219081272,414,13,17,0,401.0,3.140096618357488,4.106280193236715,96.85990338164251
17,0.0193432723155312,410,21,25,0,389.0,5.121951219512195,6.097560975609756,94.8780487804878
18,0.0181270261631888,397,21,34,0,376.0,5.289672544080605,8.564231738035264,94.7103274559194
19,0.0166560712015257,393,29,33,0,364.0,7.379134860050891,8.396946564885496,92.6208651399491
20,0.0156224769901501,387,18,24,0,369.0,4.651162790697675,6.2015503875969,95.34883720930233
21,0.0162405263596235,390,24,21,0,366.0,6.153846153846154,5.384615384615385,93.84615384615384
22,0.017193829182108,399,29,20,0,370.0,7.268170426065163,5.012531328320802,92.73182957393483
23,0.0167285452140144,392,22,29,0,370.0,5.612244897959184,7.3979591836734695,94.38775510204081
24,0.0184247538677918,393,23,22,0,370.0,5.852417302798982,5.597964376590331,94.14758269720102
25,0.0179888878768558,395,28,26,0,367.0,7.0886075949367084,6.582278481012659,92.9113924050633
26,0.019127698283916,389,21,27,0,368.0,5.3984575835475574,6.940874035989717,94.60154241645245
27,0.0174030051581072,388,19,20,0,369.0,4.896907216494846,5.154639175257732,95.10309278350516
28,0.016890213611525,374,15,29,0,359.0,4.010695187165775,7.754010695187166,95.98930481283422
29,0.0175598216722773,386,26,14,0,360.0,6.7357512953367875,3.626943005181347,93.26424870466322
30,0.0173220552506073,385,18,19,0,367.0,4.675324675324675,4.935064935064935,95.32467532467533
31,0.0177192590939522,397,32,20,0,365.0,8.060453400503778,5.037783375314861,91.93954659949623
32,0.0192279890125777,399,29,27,0,370.0,7.268170426065163,6.7669172932330826,92.73182957393483
33,0.0181506230810908,402,26,23,0,376.0,6.467661691542289,5.721393034825871,93.53233830845771
34,0.0159736617485672,393,15,24,0,378.0,3.816793893129771,6.106870229007634,96.18320610687023
35,0.0173294823372583,390,21,24,0,369.0,5.384615384615385,6.153846153846154,94.61538461538461
36,0.0161363169780332,393,25,22,0,368.0,6.361323155216285,5.597964376590331,93.63867684478372
37,0.0166216672291596,394,26,25,0,368.0,6.598984771573604,6.345177664974619,93.4010152284264
38,0.0171739798831642,391,22,25,0,369.0,5.626598465473146,6.3938618925831205,94.37340153452685
39,0.0176103432902362,395,27,23,0,368.0,6.8354430379746836,5.822784810126582,93.16455696202532
40,0.0179224253232278,402,31,24,0,371.0,7.711442786069652,5.970149253731344,92.28855721393035
