damID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
200054,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200055,2,3,5,8,7,6,1,2,1,2,4,3,2,2,3,2,1,3,7,3,3,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200056,3,1,3,4,5,2,5,6,9,11,4,4,6,10,15,10,12,5,11,13,19,20,18,16,12,10,11,11,10,2,7,7,5,6,4,7,6,8,10,3,5,6,8,10,15,21,25,17,20,17,20,16,12,19,17,23,21,26,30,24,24,29,27,21,17,22,21,26,20,20,27,37,34,34,28,27,22,26,30,25,26,35,32,29,25,25,24,31,23,17,18,24,15,13,17,19,23,28,27,33,28
200057,1,1,1,4,5,8,3,6,7,9,9,3,1,3,6,3,4,6,8,11,16,17,15,18,16,16,17,22,30,28,35,31,34,38,41,33,37,44,50,51,57,56,58,67,68,65,70,69,63,68,82,84,76,80,86,87,95,92,86,78,81,79,75,77,73,76,65,58,55,61,69,67,82,77,85,85,91,102,90,83,94,90,86,91,82,85,84,81,78,84,80,78,78,80,79,86,83,79,70,73,81
200061,3,1,2,4,4,2,5,6,9,9,6,4,4,7,10,9,10,4,9,11,17,17,11,14,16,14,12,11,11,3,8,8,6,8,8,9,7,11,15,7,11,10,13,16,17,24,31,22,18,15,18,14,13,17,13,16,14,16,19,13,8,8,12,11,9,12,9,8,6,8,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200062,3,1,2,1,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200063,1,0,1,2,1,0,0,0,1,3,1,0,1,1,2,1,2,2,3,3,4,6,7,5,3,5,6,8,7,4,7,5,2,4,3,5,9,9,2,2,3,8,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200065,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,6,3,3,4,2,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200066,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,2,3,4,1,1,1,1
