subsetID,Q_peak,Qpeak_reduction,cost,floodedArea,rank,distance
_540019,161.5104217529297,3.1231231689453125,95627.32179426264,21909.2466998,0,inf
_510037,161.24313354492188,3.390411376953125,109078.519465363,22776.9140779,0,0.021609311384016953
_610103,161.1223602294922,3.5111846923828125,113320.88810402436,23332.0082939,0,0.019877105502982852
_570005,160.7960205078125,3.8375244140625,115980.6158102582,23217.7485709,0,0.028005514195071985
_610092,160.46534729003906,4.1681976318359375,120232.18897556503,24298.366842900003,0,0.02780802271554994
_610099,160.18893432617188,4.444610595703125,127552.03251230744,25081.2434519,0,0.02803334816361455
_660075,159.92593383789062,4.707611083984375,139444.23251267592,25991.4324458,0,0.021809026699616315
_650080,159.79856872558594,4.834976196289063,145542.44904909364,25732.4239282,0,0.025507142654822353
_650094,159.334228515625,5.29931640625,146435.06030330676,27811.5425479,0,0.026473876950045636
_660013,159.1975555419922,5.4359893798828125,154162.02753537978,27479.9753019,0,0.03736045963563646
_670025,158.67340087890625,5.96014404296875,178074.97928600415,30581.5113219,0,0.036426795254269166
_640066,158.59469604492188,6.038848876953125,189320.8789536418,36974.977342900005,0,0.01889298868199374
_660001,158.3741455078125,6.2593994140625,197705.6829765941,41130.10376890001,0,0.027388009458706345
_580036,158.25360107421875,6.37994384765625,227417.46312755364,44236.9361097,0,0.024420706408726574
_660097,158.1454620361328,6.488082885742188,239519.41072842068,47974.8579056,0,0.021983184085132335
_530018,157.96621704101562,6.667327880859375,256581.89119163863,44329.8578232,0,0.02183360089462319
_570076,157.82481384277344,6.8087310791015625,264823.8536636687,45475.7168257,0,0.020160749487905007
_670017,157.60531616210938,7.028228759765625,273208.657686621,49630.8432517,0,0.019302702270863573
_660095,157.52615356445312,7.107391357421875,285616.8202421673,45604.57693459,0,0.019410323895988568
_570027,157.23223876953125,7.40130615234375,286554.0497518035,46730.8132826,0,0.015601374206701909
_670103,157.23094177246094,7.4026031494140625,296827.3962102819,47150.3486248,0,0.016270698216172663
_430060,156.93017578125,7.703369140625,298850.0037303862,48569.9118916,0,0.021811595009206836
_650106,156.73773193359375,7.89581298828125,304132.7224229005,49339.4045716,0,0.020705624695524692
_670065,156.48126220703125,8.15228271484375,307790.1205997357,49997.5442046,0,0.015576969692632614
_530001,156.42489624023438,8.208648681640625,313445.5211484317,51552.3550616,0,0.02175216635758984
_650059,155.9759521484375,8.6575927734375,313677.8610117243,52693.3743262,0,0.029603040464685315
_650071,155.97251892089844,8.661026000976562,345921.92397773446,54634.3035869,0,0.02913677575557693
_660010,155.58798217773438,9.045562744140623,351597.96198924264,54131.5154703,0,0.01983379858915055
_610025,155.56825256347656,9.065292358398438,357162.1743387436,55908.3108439,0,0.014593284714827504
_620003,155.34515380859375,9.28839111328125,365546.978361696,60063.4372699,0,0.013174079958220784
_660098,155.3369598388672,9.296585083007812,368498.8165774591,60179.38077719999,0,0.022015791022585267
_630090,154.91070556640625,9.72283935546875,379509.7552029619,61820.954433900006,0,0.02566535863657215
_660076,154.90838623046875,9.72515869140625,392874.22638351534,62461.954994,0,0.01645940554825278
_640076,154.6358184814453,9.997726440429688,395137.8196338301,65932.11001090001,0,0.02247771822435945
_660087,154.448486328125,10.18505859375,405431.6030031318,66238.599201,0,0.025745467850137878
_660106,154.19776916503906,10.435775756835938,418743.2617791249,68769.29653090001,0,0.027887209158949877
_520100,154.1765594482422,10.456985473632812,452059.8386265417,68211.441721,0,0.03391941170241958
_560093,153.65512084960938,10.978424072265623,453427.5955866221,68705.6235204,0,0.03033951577636468
_660085,153.4567413330078,11.176803588867188,458710.3142791364,69475.11620039999,0,0.015972847232836793
_670094,153.346923828125,11.28662109375,464285.8791205817,69735.1690039,0,0.023873540467248558
_620070,153.0053253173828,11.628219604492188,475898.5541439201,69780.5727202,0,0.021424481570953148
