damID,mid_2080_01feb_gen100,mid_2080_01feb_%,mid_5050_01feb_gen100,mid_5050_01feb_%,mid_8020_01feb_gen100,mid_8020_01feb_%,mid_2080SP_01feb_gen100,mid_2080SP_01feb_%,mid_5050SP_01feb_gen100,mid_5050SP_01feb_%,mid_8020SP_01feb_gen100,mid_8020SP_01feb_%
200272,1,0.211864406779661,2,0.423728813559322,42,8.898305084745763,72,15.254237288135593,11,2.330508474576271,116,24.576271186440678
200274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
200275,0,0.0,0,0.0,0,0.0,0,0.0,1,0.211864406779661,0,0.0
200276,34,7.203389830508475,37,7.838983050847458,0,0.0,84,17.796610169491526,45,9.533898305084746,36,7.627118644067797
200277,126,26.694915254237287,214,45.33898305084746,139,29.449152542372882,213,45.1271186440678,162,34.32203389830509,236,50.0
200278,1,0.211864406779661,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
200279,40,8.474576271186441,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
200280,1,0.211864406779661,1,0.211864406779661,5,1.0593220338983051,4,0.847457627118644,2,0.423728813559322,48,10.169491525423728
200281,0,0.0,6,1.271186440677966,0,0.0,0,0.0,0,0.0,0,0.0
200287,80,16.949152542372882,0,0.0,0,0.0,0,0.0,7,1.4830508474576272,43,9.110169491525424
200295,0,0.0,0,0.0,0,0.0,12,2.542372881355932,1,0.211864406779661,0,0.0
200296,0,0.0,0,0.0,0,0.0,37,7.838983050847458,32,6.779661016949152,0,0.0
200297,0,0.0,1,0.211864406779661,0,0.0,21,4.4491525423728815,32,6.779661016949152,0,0.0
200298,1,0.211864406779661,4,0.847457627118644,0,0.0,15,3.1779661016949152,1,0.211864406779661,0,0.0
200299,7,1.4830508474576272,28,5.932203389830509,0,0.0,21,4.4491525423728815,0,0.0,0,0.0
200300,55,11.652542372881356,0,0.0,0,0.0,25,5.296610169491525,130,27.54237288135593,92,19.491525423728813
200301,128,27.11864406779661,164,34.74576271186441,162,34.32203389830509,107,22.66949152542373,40,8.474576271186441,100,21.1864406779661
200302,0,0.0,0,0.0,0,0.0,21,4.4491525423728815,27,5.720338983050848,100,21.1864406779661
200309,4,0.847457627118644,0,0.0,19,4.02542372881356,20,4.237288135593221,37,7.838983050847458,0,0.0
200310,0,0.0,0,0.0,0,0.0,0,0.0,28,5.932203389830509,49,10.38135593220339
200313,0,0.0,22,4.661016949152542,0,0.0,1,0.211864406779661,0,0.0,0,0.0
200315,3,0.635593220338983,0,0.0,6,1.271186440677966,27,5.720338983050848,1,0.211864406779661,18,3.8135593220338984
200316,6,1.271186440677966,0,0.0,0,0.0,7,1.4830508474576272,1,0.211864406779661,18,3.8135593220338984
200317,0,0.0,2,0.423728813559322,0,0.0,22,4.661016949152542,1,0.211864406779661,56,11.864406779661017
200318,0,0.0,0,0.0,0,0.0,1,0.211864406779661,0,0.0,0,0.0
200319,98,20.76271186440678,4,0.847457627118644,0,0.0,20,4.237288135593221,56,11.864406779661017,2,0.423728813559322
200324,0,0.0,22,4.661016949152542,0,0.0,0,0.0,0,0.0,0,0.0
200325,46,9.745762711864407,0,0.0,36,7.627118644067797,64,13.559322033898304,24,5.084745762711864,0,0.0
200326,55,11.652542372881356,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
200327,0,0.0,40,8.474576271186441,36,7.627118644067797,66,13.983050847457626,91,19.279661016949152,25,5.296610169491525
200336,1,0.211864406779661,1,0.211864406779661,0,0.0,1,0.211864406779661,1,0.211864406779661,0,0.0
200337,0,0.0,2,0.423728813559322,0,0.0,0,0.0,1,0.211864406779661,0,0.0
200338,5,1.0593220338983051,49,10.38135593220339,0,0.0,0,0.0,0,0.0,1,0.211864406779661
200342,51,10.805084745762711,1,0.211864406779661,25,5.296610169491525,5,1.0593220338983051,16,3.389830508474576,11,2.330508474576271
200346,74,15.677966101694915,0,0.0,0,0.0,15,3.1779661016949152,35,7.415254237288136,57,12.076271186440678
200347,0,0.0,0,0.0,0,0.0,19,4.02542372881356,35,7.415254237288136,9,1.9067796610169492
