damID,mid_2080_01feb_gen100,mid_2080_01feb_%,mid_5050_01feb_gen100,mid_5050_01feb_%,mid_8020_01feb_gen100,mid_8020_01feb_%,mid_2080SP_01feb_gen100,mid_2080SP_01feb_%,mid_5050SP_01feb_gen100,mid_5050SP_01feb_%,mid_8020SP_01feb_gen100,mid_8020SP_01feb_%
200054,2,0.423728813559322,25,5.296610169491525,0,0.0,1,0.211864406779661,0,0.0,2,0.423728813559322
200055,4,0.847457627118644,1,0.211864406779661,100,21.1864406779661,173,36.652542372881356,8,1.694915254237288,1,0.211864406779661
200056,1,0.211864406779661,0,0.0,0,0.0,0,0.0,47,9.957627118644067,0,0.0
200057,160,33.898305084745765,149,31.56779661016949,47,9.957627118644067,168,35.59322033898305,153,32.41525423728814,0,0.0
200061,55,11.652542372881356,20,4.237288135593221,76,16.10169491525424,103,21.822033898305083,4,0.847457627118644,21,4.4491525423728815
200062,17,3.6016949152542375,1,0.211864406779661,0,0.0,57,12.076271186440678,86,18.220338983050848,105,22.24576271186441
200063,49,10.38135593220339,2,0.423728813559322,0,0.0,183,38.771186440677965,44,9.322033898305085,0,0.0
200064,1,0.211864406779661,0,0.0,0,0.0,0,0.0,7,1.4830508474576272,1,0.211864406779661
200065,0,0.0,1,0.211864406779661,1,0.211864406779661,51,10.805084745762711,63,13.347457627118644,2,0.423728813559322
200066,159,33.686440677966104,15,3.1779661016949152,0,0.0,103,21.822033898305083,4,0.847457627118644,1,0.211864406779661
200070,99,20.97457627118644,59,12.5,0,0.0,6,1.271186440677966,0,0.0,2,0.423728813559322
200071,0,0.0,0,0.0,0,0.0,2,0.423728813559322,3,0.635593220338983,3,0.635593220338983
200072,1,0.211864406779661,0,0.0,0,0.0,156,33.05084745762712,1,0.211864406779661,3,0.635593220338983
200073,19,4.02542372881356,58,12.288135593220339,18,3.8135593220338984,2,0.423728813559322,62,13.135593220338983,89,18.85593220338983
200082,0,0.0,0,0.0,0,0.0,2,0.423728813559322,4,0.847457627118644,90,19.06779661016949
200083,0,0.0,0,0.0,1,0.211864406779661,3,0.635593220338983,7,1.4830508474576272,2,0.423728813559322
200092,7,1.4830508474576272,0,0.0,0,0.0,4,0.847457627118644,3,0.635593220338983,3,0.635593220338983
200095,1,0.211864406779661,66,13.983050847457626,0,0.0,3,0.635593220338983,3,0.635593220338983,1,0.211864406779661
200096,1,0.211864406779661,1,0.211864406779661,0,0.0,17,3.6016949152542375,30,6.3559322033898304,0,0.0
200100,0,0.0,0,0.0,0,0.0,3,0.635593220338983,5,1.0593220338983051,1,0.211864406779661
200101,101,21.39830508474576,0,0.0,0,0.0,24,5.084745762711864,5,1.0593220338983051,27,5.720338983050848
200109,75,15.889830508474576,0,0.0,0,0.0,123,26.059322033898304,20,4.237288135593221,16,3.389830508474576
200113,0,0.0,9,1.9067796610169492,0,0.0,28,5.932203389830509,1,0.211864406779661,0,0.0
200114,1,0.211864406779661,0,0.0,0,0.0,90,19.06779661016949,2,0.423728813559322,17,3.6016949152542375
200126,0,0.0,0,0.0,2,0.423728813559322,2,0.423728813559322,1,0.211864406779661,1,0.211864406779661
200127,0,0.0,94,19.915254237288135,1,0.211864406779661,17,3.6016949152542375,9,1.9067796610169492,1,0.211864406779661
200128,2,0.423728813559322,0,0.0,2,0.423728813559322,4,0.847457627118644,61,12.923728813559322,3,0.635593220338983
200129,0,0.0,0,0.0,1,0.211864406779661,5,1.0593220338983051,49,10.38135593220339,1,0.211864406779661
200130,0,0.0,47,9.957627118644067,33,6.991525423728813,161,34.110169491525426,63,13.347457627118644,1,0.211864406779661
200131,10,2.1186440677966103,0,0.0,0,0.0,4,0.847457627118644,2,0.423728813559322,0,0.0
200132,0,0.0,0,0.0,0,0.0,2,0.423728813559322,1,0.211864406779661,1,0.211864406779661
200133,0,0.0,0,0.0,0,0.0,5,1.0593220338983051,59,12.5,1,0.211864406779661
200134,5,1.0593220338983051,0,0.0,0,0.0,4,0.847457627118644,2,0.423728813559322,1,0.211864406779661
200135,0,0.0,0,0.0,0,0.0,9,1.9067796610169492,1,0.211864406779661,1,0.211864406779661
200136,0,0.0,0,0.0,0,0.0,14,2.9661016949152543,48,10.169491525423728,0,0.0
200137,120,25.423728813559322,175,37.07627118644068,32,6.779661016949152,9,1.9067796610169492,1,0.211864406779661,23,4.872881355932203
200138,42,8.898305084745763,11,2.330508474576271,0,0.0,20,4.237288135593221,49,10.38135593220339,9,1.9067796610169492
200139,6,1.271186440677966,27,5.720338983050848,0,0.0,4,0.847457627118644,2,0.423728813559322,3,0.635593220338983
200140,0,0.0,113,23.940677966101696,103,21.822033898305083,153,32.41525423728814,56,11.864406779661017,3,0.635593220338983
200141,0,0.0,0,0.0,0,0.0,3,0.635593220338983,2,0.423728813559322,3,0.635593220338983
200142,127,26.906779661016948,0,0.0,0,0.0,7,1.4830508474576272,59,12.5,56,11.864406779661017
200143,1,0.211864406779661,0,0.0,0,0.0,19,4.02542372881356,49,10.38135593220339,3,0.635593220338983
200144,46,9.745762711864407,113,23.940677966101696,104,22.033898305084747,257,54.44915254237288,160,33.898305084745765,114,24.152542372881356
200145,0,0.0,4,0.847457627118644,0,0.0,19,4.02542372881356,1,0.211864406779661,0,0.0
200147,35,7.415254237288136,32,6.779661016949152,1,0.211864406779661,80,16.949152542372882,1,0.211864406779661,0,0.0
200148,4,0.847457627118644,4,0.847457627118644,0,0.0,8,1.694915254237288,5,1.0593220338983051,0,0.0
200149,1,0.211864406779661,0,0.0,0,0.0,0,0.0,2,0.423728813559322,89,18.85593220338983
