damID	flooded_list
200787	[]
200789	[]
200795	[]
200799	[]
200804	[]
200806	[]
200807	[]
200808	[]
200809	[]
200810	[200809]
200811	[]
200816	[]
200824	[]
200825	[200824]
200826	[200824, 200825]
200828	[]
200829	[200828]
300836	[200014]
300837	[]
300838	[300837]
300839	[300837, 300838]
300841	[]
300844	[200008, 200009, 300841]
300845	[200008, 200009, 300841, 300844]
300846	[200008, 200009, 300841, 300844, 300845]
300850	[200031]
300851	[]
300852	[300851]
300853	[300851, 300852]
300854	[300852, 300853]
300856	[200052]
300857	[300856]
300858	[200061]
300859	[300858]
300860	[300858, 300859]
300861	[300860]
300862	[300861]
300863	[]
300864	[]
300865	[]
300866	[]
300867	[300866]
300868	[300867]
300869	[200045, 200046, 200076]
300870	[300869]
300871	[300870]
300873	[200055, 200056, 200057, 200065]
300874	[200057, 300873]
300875	[300874]
300876	[300874, 300875]
300877	[300875, 300876]
300878	[300877]
300879	[300878]
300880	[300879]
300881	[300880]
300882	[300881]
300883	[300882]
300884	[200154, 300883]
300885	[]
300886	[]
300887	[]
300891	[200080]
300892	[200080, 300891]
300893	[200073]
300894	[200073, 300893]
300895	[]
300896	[]
300897	[300896]
300898	[300897]
300899	[]
300900	[300899]
300901	[200083]
300902	[300901]
300903	[300902]
300904	[]
300905	[300904]
300906	[300904, 300905]
300907	[300905, 300906]
300908	[300907]
300909	[200109]
300910	[200109, 300909]
300911	[300909, 300910]
300912	[300911]
300913	[]
300914	[300913]
300917	[200138]
300918	[300917]
300919	[300917, 300918]
300920	[300918, 300919]
300921	[]
300922	[200145, 200155]
300923	[]
300924	[300923]
300925	[300924]
300926	[300925]
300927	[]
300929	[]
300931	[200183, 200187]
300932	[300931]
300933	[200164]
300934	[300933]
300935	[300934]
300936	[200152, 200194]
300937	[]
300939	[]
300941	[]
300942	[300941]
300943	[300942]
300944	[300943]
300946	[200239]
300947	[300946]
300948	[]
300953	[200249]
300954	[]
300955	[]
300956	[300955]
300957	[300956]
300959	[]
300960	[300959]
300962	[]
300963	[300962]
300964	[]
300965	[]
