	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	1.11	0.0
0.2	0.2	2.22	0.02
0.3	0.3	3.32	0.06
0.4	0.4	4.43	0.15
0.5	0.5	5.54	0.19
0.6	0.6	6.65	0.22
0.7	0.7	7.76	0.25
0.8	0.8	8.86	0.27
0.9	0.9	9.97	0.29
1.0	1.0	11.08	0.31
1.1	1.1	17.17	0.33
1.2	1.2	23.26	0.35
1.3	1.3	29.36	0.36
1.4	1.4	35.45	0.38
1.5	1.5	41.54	0.4
1.6	1.6	47.63	0.41
1.7	1.7	53.72	0.43
1.8	1.8	59.82	0.44
1.9	1.9	65.91	0.45
2.0	2.0	72.0	0.47
2.1	2.1	88.2	0.48
2.2	2.2	104.4	0.49
2.3	2.3	120.6	0.5
2.4	2.4	136.8	0.51
2.5	2.5	153.0	0.53
2.6	2.6	169.2	0.54
2.7	2.7	185.4	0.55
2.8	2.8	201.6	0.56
2.9	2.9	217.8	0.57
3.0	3.0	234.0	0.58
3.1	3.1	265.0	0.59
3.2	3.2	296.0	0.6
3.3	3.3	327.0	0.61
3.4	3.4	358.0	0.62
3.5	3.5	389.0	0.63
3.6	3.6	420.0	0.64
3.7	3.7	451.0	0.65
3.8	3.8	482.0	0.66
3.9	3.9	513.0	0.67
4.0	4.0	544.0	0.68
4.1	4.1	596.2	0.69
4.2	4.2	648.4	0.69
4.3	4.3	700.6	0.7
4.4	4.4	752.8	0.71
4.5	4.5	805.0	0.72
4.6	4.6	857.2	0.73
4.7	4.7	909.4	0.74
4.8	4.8	961.6	0.74
4.9	4.9	1013.8	0.75
5.0	5.0	1066.0	0.76
5.099257163	5.099257163	1126.53	0.77
