	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	1.57	0.0
0.2	0.2	3.15	0.06
0.3	0.3	4.72	0.17
0.4	0.4	6.29	0.32
0.5	0.5	7.87	0.5
0.6	0.6	9.44	0.7
0.7	0.7	11.01	0.93
0.8	0.8	12.58	1.17
0.9	0.9	14.16	1.43
1.0	1.0	15.73	2.39
1.1	1.1	28.56	2.59
1.2	1.2	41.38	2.78
1.3	1.3	54.21	2.95
1.4	1.4	67.04	3.11
1.5	1.5	79.87	3.27
1.6	1.6	92.69	3.41
1.7	1.7	105.52	3.55
1.8	1.8	118.35	3.69
1.9	1.9	131.17	3.82
2.0	2.0	144.0	3.95
2.1	2.1	184.9	4.07
2.2	2.2	225.8	4.19
2.3	2.3	266.7	4.3
2.4	2.4	307.6	4.42
2.5	2.5	348.5	4.52
2.6	2.6	389.4	4.63
2.7	2.7	430.3	4.74
2.8	2.8	471.2	4.84
2.9	2.9	512.1	4.94
3.0	3.0	553.0	5.04
3.1	3.1	582.61	5.13
3.2	3.2	612.23	5.23
3.3	3.3	641.84	5.32
3.4	3.4	671.46	5.41
3.491272977	3.491272977	849.14	5.49
