	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	3.4	0.0
0.2	0.2	6.8	0.04
0.3	0.3	10.2	0.11
0.4	0.4	13.59	0.22
0.5	0.5	16.99	0.33
0.6	0.6	20.39	0.47
0.7	0.7	23.79	0.87
0.8	0.8	27.19	0.98
0.9	0.9	30.59	1.07
1.0	1.0	33.99	1.16
1.1	1.1	59.89	1.24
1.2	1.2	85.79	1.31
1.3	1.3	111.69	1.39
1.4	1.4	137.59	1.45
1.5	1.5	163.49	1.52
1.6	1.6	189.39	1.58
1.7	1.7	215.3	1.64
1.8	1.8	241.2	1.7
1.9	1.9	267.1	1.76
2.0	2.0	293.0	1.81
2.1	2.1	376.6	1.86
2.2	2.2	460.2	1.91
2.3	2.3	543.8	1.96
2.4	2.4	627.4	2.01
2.5	2.5	711.0	2.06
2.6	2.6	794.6	2.11
2.7	2.7	878.2	2.15
2.8	2.8	961.8	2.2
2.9	2.9	1045.4	2.24
3.0	3.0	1129.0	2.28
3.1	3.1	1350.8	2.32
3.2	3.2	1572.6	2.36
3.3	3.3	1794.4	2.41
3.4	3.4	2016.2	2.44
3.5	3.5	2238.0	2.48
3.6	3.6	2459.8	2.52
3.7	3.7	2681.6	2.56
3.8	3.8	2903.4	2.6
3.9	3.9	3125.2	2.63
4.0	4.0	3347.0	2.67
4.1	4.1	3749.6	2.71
4.2	4.2	4152.2	2.74
4.3	4.3	4554.8	2.78
4.4	4.4	4957.4	2.81
4.5	4.5	5360.0	2.85
4.6	4.6	5762.6	2.88
4.7	4.7	6165.2	2.91
4.8	4.8	6567.8	2.95
4.9	4.9	6970.4	2.98
5.0	5.0	7373.0	3.01
5.1	5.1	7423.39	3.04
5.100176735	5.100176735	7876.93	3.04
