	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	3.07	0.0
0.2	0.2	6.13	0.02
0.3	0.3	9.2	0.06
0.4	0.4	12.26	0.15
0.5	0.5	15.33	0.19
0.6	0.6	18.39	0.22
0.7	0.7	21.46	0.25
0.8	0.8	24.53	0.27
0.9	0.9	27.59	0.29
1.0	1.0	30.66	0.31
1.1	1.1	61.99	0.33
1.2	1.2	93.33	0.35
1.3	1.3	124.66	0.36
1.4	1.4	155.99	0.38
1.5	1.5	187.33	0.4
1.6	1.6	218.66	0.41
1.7	1.7	250.0	0.43
1.8	1.8	281.33	0.44
1.9	1.9	312.67	0.45
2.0	2.0	344.0	0.47
2.1	2.1	444.9	0.48
2.2	2.2	545.8	0.49
2.3	2.3	646.7	0.5
2.4	2.4	747.6	0.51
2.5	2.5	848.5	0.53
2.6	2.6	949.4	0.54
2.7	2.7	1050.3	0.55
2.8	2.8	1151.2	0.56
2.9	2.9	1252.1	0.57
3.0	3.0	1353.0	0.58
3.1	3.1	1873.3	0.59
3.2	3.2	2393.6	0.6
3.3	3.3	2913.9	0.61
3.4	3.4	3434.2	0.62
3.5	3.5	3954.5	0.63
3.6	3.6	4474.8	0.64
3.7	3.7	4995.1	0.65
3.8	3.8	5515.4	0.66
3.9	3.9	6035.7	0.67
4.0	4.0	6556.0	0.68
4.097842367	4.097842367	7454.27	0.69
