	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	5.22	0.0
0.2	0.2	10.44	0.14
0.3	0.3	15.66	0.43
0.4	0.4	20.88	0.81
0.5	0.5	26.1	1.24
0.6	0.6	31.32	1.75
0.7	0.7	36.54	2.33
0.8	0.8	41.77	2.94
0.9	0.9	46.99	3.59
1.0	1.0	52.21	4.28
1.1	1.1	131.49	5.01
1.2	1.2	210.77	5.78
1.3	1.3	290.04	6.59
1.4	1.4	369.32	7.43
1.5	1.5	448.6	8.3
1.6	1.6	527.88	9.21
1.7	1.7	607.16	10.15
1.8	1.8	686.44	11.11
1.9	1.9	765.72	12.11
2.0	2.0	845.0	13.13
2.1	2.1	1114.2	14.18
2.2	2.2	1383.4	15.26
2.3	2.3	1652.6	16.36
2.4	2.4	1921.8	24.07
2.5	2.5	2191.0	24.86
2.6	2.6	2460.2	25.63
2.7	2.7	2729.4	26.38
2.8	2.8	2998.6	27.1
2.9	2.9	3267.8	27.8
3.0	3.0	3537.0	28.49
3.1	3.1	4046.2	29.16
3.2	3.2	4555.4	29.81
3.3	3.3	5064.6	30.45
3.4	3.4	5573.8	31.07
3.5	3.5	6083.0	31.69
3.6	3.6	6592.2	32.29
3.7	3.7	7101.4	32.88
3.8	3.8	7610.6	33.45
3.9	3.9	8119.8	34.02
4.0	4.0	8629.0	34.58
4.1	4.1	9375.8	35.13
4.2	4.2	10122.6	35.67
4.3	4.3	10869.4	36.2
4.4	4.4	11616.2	36.73
4.5	4.5	12363.0	37.25
4.6	4.6	13109.8	37.76
4.7	4.7	13856.6	38.26
4.8	4.8	14603.4	38.76
4.9	4.9	15350.2	39.25
5.0	5.0	16097.0	39.73
5.1	5.1	16191.43	40.21
5.10651501	5.10651501	17041.3	40.24
