	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	1.15	0.0
0.2	0.2	2.29	0.02
0.3	0.3	3.44	0.06
0.4	0.4	4.58	0.15
0.5	0.5	5.73	0.19
0.6	0.6	6.87	0.22
0.7	0.7	8.02	0.25
0.8	0.8	9.16	0.27
0.9	0.9	10.31	0.29
1.0	1.0	11.45	0.31
1.1	1.1	17.91	0.33
1.2	1.2	24.36	0.35
1.3	1.3	30.82	0.36
1.4	1.4	37.27	0.38
1.5	1.5	43.73	0.4
1.6	1.6	50.18	0.41
1.7	1.7	56.64	0.43
1.8	1.8	63.09	0.44
1.9	1.9	69.55	0.45
2.0	2.0	76.0	0.47
2.1	2.1	92.2	0.48
2.2	2.2	108.4	0.49
2.3	2.3	124.6	0.5
2.4	2.4	140.8	0.51
2.5	2.5	157.0	0.53
2.6	2.6	173.2	0.54
2.7	2.7	189.4	0.55
2.8	2.8	205.6	0.56
2.9	2.9	221.8	0.57
3.0	3.0	238.0	0.58
3.1	3.1	267.7	0.59
3.2	3.2	297.4	0.6
3.3	3.3	327.1	0.61
3.4	3.4	356.8	0.62
3.5	3.5	386.5	0.63
3.6	3.6	416.2	0.64
3.7	3.7	445.9	0.65
3.8	3.8	475.6	0.66
3.9	3.9	505.3	0.67
4.0	4.0	535.0	0.68
4.1	4.1	582.6	0.69
4.2	4.2	630.2	0.69
4.3	4.3	677.8	0.7
4.4	4.4	725.4	0.71
4.5	4.5	773.0	0.72
4.6	4.6	820.6	0.73
4.7	4.7	868.2	0.74
4.8	4.8	915.8	0.74
4.9	4.9	963.4	0.75
5.0	5.0	1011.0	0.76
5.077392028	5.077392028	1055.5	0.77
