	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	4.25	0.0
0.2	0.2	8.49	0.02
0.3	0.3	12.74	0.06
0.4	0.4	16.98	0.15
0.5	0.5	21.23	0.19
0.6	0.6	25.47	0.22
0.7	0.7	29.72	0.25
0.8	0.8	33.96	0.27
0.9	0.9	38.21	0.29
1.0	1.0	42.45	0.31
1.1	1.1	61.71	0.33
1.2	1.2	80.96	0.35
1.3	1.3	100.22	0.36
1.4	1.4	119.47	0.38
1.5	1.5	138.73	0.4
1.6	1.6	157.98	0.41
1.7	1.7	177.24	0.43
1.8	1.8	196.49	0.44
1.9	1.9	215.75	0.45
2.0	2.0	235.0	0.47
2.1	2.1	273.8	0.48
2.2	2.2	312.6	0.49
2.3	2.3	351.4	0.5
2.4	2.4	390.2	0.51
2.5	2.5	429.0	0.53
2.6	2.6	467.8	0.54
2.7	2.7	506.6	0.55
2.8	2.8	545.4	0.56
2.9	2.9	584.2	0.57
3.0	3.0	623.0	0.58
3.1	3.1	685.2	0.59
3.2	3.2	747.4	0.6
3.3	3.3	809.6	0.61
3.4	3.4	871.8	0.62
3.5	3.5	934.0	0.63
3.6	3.6	996.2	0.64
3.7	3.7	1058.4	0.65
3.8	3.8	1120.6	0.66
3.9	3.9	1182.8	0.67
4.0	4.0	1245.0	0.68
4.1	4.1	1316.24	0.69
4.2	4.2	1387.48	0.69
4.3	4.3	1458.72	0.7
4.4	4.4	1529.96	0.71
4.5	4.5	1601.2	0.72
4.6	4.6	1672.44	0.73
4.7	4.7	1743.68	0.74
4.8	4.8	1814.92	0.74
4.828136626	4.828136626	1957.4	0.75
