	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	76.88	0.0
0.2	0.2	153.75	0.08
0.3	0.3	230.63	0.23
0.4	0.4	307.51	0.43
0.5	0.5	384.39	0.66
0.6	0.6	461.26	0.94
0.7	0.7	538.14	1.24
0.8	0.8	615.02	1.57
0.9	0.9	691.9	1.91
1.0	1.0	768.77	2.28
1.1	1.1	1358.7	2.67
1.2	1.2	1948.62	3.08
1.3	1.3	2538.54	4.91
1.4	1.4	3128.46	5.23
1.5	1.5	3718.39	5.52
1.6	1.6	4308.31	5.79
1.7	1.7	4898.23	6.06
1.8	1.8	5488.15	6.31
1.9	1.9	6078.08	6.55
2.0	2.0	6668.0	6.78
2.1	2.1	8985.3	7.01
2.2	2.2	11302.6	7.23
2.3	2.3	13619.9	7.44
2.4	2.4	15937.2	7.64
2.5	2.5	18254.5	7.84
2.6	2.6	20571.8	8.04
2.7	2.7	22889.1	8.23
2.8	2.8	25206.4	8.41
2.9	2.9	27523.7	8.6
3.0	3.0	29841.0	8.77
3.1	3.1	34237.6	8.95
3.2	3.2	38634.2	9.12
3.3	3.3	43030.8	9.29
3.4	3.4	47427.4	9.45
3.5	3.5	51824.0	9.62
3.6	3.6	56220.6	9.77
3.7	3.7	60617.2	9.93
3.8	3.8	65013.8	10.09
3.9	3.9	69410.4	10.24
4.0	4.0	73807.0	10.39
4.1	4.1	80813.5	10.54
4.2	4.2	87820.0	10.68
4.3	4.3	94826.5	10.82
4.4	4.4	101833.0	10.97
4.5	4.5	108839.5	11.11
4.6	4.6	115846.0	11.24
4.7	4.7	122852.5	11.38
4.8	4.8	129859.0	11.52
4.9	4.9	136865.5	11.65
5.0	5.0	143872.0	11.78
5.1	5.1	144760.99	11.91
5.100233489	5.100233489	152761.89	11.91
