	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	39.54	0.0
0.2	0.2	79.08	0.2
0.3	0.3	118.62	0.6
0.4	0.4	158.15	1.13
0.5	0.5	197.69	1.74
0.6	0.6	237.23	2.46
0.7	0.7	276.77	3.26
0.8	0.8	316.31	4.11
0.9	0.9	355.85	5.02
1.0	1.0	395.39	5.99
1.1	1.1	722.25	7.02
1.2	1.2	1049.11	8.1
1.3	1.3	1375.97	9.23
1.4	1.4	1702.83	10.4
1.5	1.5	2029.69	11.63
1.6	1.6	2356.55	12.89
1.7	1.7	2683.42	14.2
1.8	1.8	3010.28	15.56
1.9	1.9	3337.14	16.95
2.0	2.0	3664.0	18.38
2.1	2.1	4473.0	19.85
2.2	2.2	5282.0	21.36
2.3	2.3	6091.0	22.9
2.4	2.4	6900.0	33.69
2.5	2.5	7709.0	34.81
2.6	2.6	8518.0	35.88
2.7	2.7	9327.0	36.93
2.8	2.8	10136.0	37.94
2.9	2.9	10945.0	38.93
3.0	3.0	11754.0	39.88
3.1	3.1	13124.5	40.82
3.2	3.2	14495.0	41.73
3.3	3.3	15865.5	42.63
3.4	3.4	17236.0	43.5
3.5	3.5	18606.5	44.36
3.6	3.6	19977.0	45.2
3.7	3.7	21347.5	46.03
3.8	3.8	22718.0	46.84
3.9	3.9	24088.5	47.63
4.0	4.0	25459.0	48.41
4.1	4.1	27365.4	49.18
4.2	4.2	29271.8	49.94
4.3	4.3	31178.2	50.69
4.4	4.4	33084.6	51.42
4.5	4.5	34991.0	52.15
4.6	4.6	36897.4	52.86
4.7	4.7	38803.8	53.57
4.8	4.8	40710.2	54.26
4.9	4.9	42616.6	54.95
5.0	5.0	44523.0	55.63
5.081243702	5.081243702	46251.04	56.17
