	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	16.89	0.0
0.2	0.2	33.77	0.02
0.3	0.3	50.66	0.06
0.4	0.4	67.55	0.15
0.5	0.5	84.43	0.19
0.6	0.6	101.32	0.22
0.7	0.7	118.2	0.25
0.8	0.8	135.09	0.27
0.9	0.9	151.98	0.29
1.0	1.0	168.86	0.31
1.1	1.1	283.48	0.33
1.2	1.2	398.09	0.35
1.3	1.3	512.7	0.36
1.4	1.4	627.32	0.38
1.5	1.5	741.93	0.4
1.6	1.6	856.55	0.41
1.7	1.7	971.16	0.43
1.8	1.8	1085.77	0.44
1.9	1.9	1200.39	0.45
2.0	2.0	1315.0	0.47
2.1	2.1	1600.8	0.48
2.2	2.2	1886.6	0.49
2.3	2.3	2172.4	0.5
2.4	2.4	2458.2	0.51
2.5	2.5	2744.0	0.53
2.6	2.6	3029.8	0.54
2.7	2.7	3315.6	0.55
2.8	2.8	3601.4	0.56
2.9	2.9	3887.2	0.57
3.0	3.0	4173.0	0.58
3.1	3.1	4671.7	0.59
3.2	3.2	5170.4	0.6
3.3	3.3	5669.1	0.61
3.4	3.4	6167.8	0.62
3.5	3.5	6666.5	0.63
3.6	3.6	7165.2	0.64
3.7	3.7	7663.9	0.65
3.8	3.8	8162.6	0.66
3.9	3.9	8661.3	0.67
4.0	4.0	9160.0	0.68
4.07324831	4.07324831	9615.79	0.68
