	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	23.44	0.0
0.2	0.2	46.88	0.02
0.3	0.3	70.32	0.06
0.4	0.4	93.76	0.15
0.5	0.5	117.2	0.19
0.6	0.6	140.64	0.22
0.7	0.7	164.08	0.25
0.8	0.8	187.52	0.27
0.9	0.9	210.95	0.29
1.0	1.0	234.39	0.31
1.1	1.1	351.95	0.33
1.2	1.2	469.52	0.35
1.3	1.3	587.08	0.36
1.4	1.4	704.64	0.38
1.5	1.5	822.2	0.4
1.6	1.6	939.76	0.41
1.7	1.7	1057.32	0.43
1.8	1.8	1174.88	0.44
1.9	1.9	1292.44	0.45
2.0	2.0	1410.0	0.47
2.1	2.1	1693.2	0.48
2.2	2.2	1976.4	0.49
2.3	2.3	2259.6	0.5
2.4	2.4	2542.8	0.51
2.5	2.5	2826.0	0.53
2.6	2.6	3109.2	0.54
2.7	2.7	3392.4	0.55
2.8	2.8	3675.6	0.56
2.9	2.9	3958.8	0.57
3.0	3.0	4242.0	0.58
3.1	3.1	4768.1	0.59
3.2	3.2	5294.2	0.6
3.3	3.3	5820.3	0.61
3.4	3.4	6346.4	0.62
3.5	3.5	6872.5	0.63
3.6	3.6	7398.6	0.64
3.7	3.7	7924.7	0.65
3.8	3.8	8450.8	0.66
3.9	3.9	8976.9	0.67
4.0	4.0	9503.0	0.68
4.1	4.1	9862.62	0.69
4.2	4.2	10222.24	0.69
4.3	4.3	10581.86	0.7
4.4	4.4	10941.48	0.71
4.469841032	4.469841032	13099.2	0.72
