	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	14.22	0.0
0.2	0.2	28.44	0.11
0.3	0.3	42.66	0.34
0.4	0.4	56.87	0.65
0.5	0.5	71.09	0.99
0.6	0.6	85.31	1.4
0.7	0.7	99.53	1.86
0.8	0.8	113.75	2.35
0.9	0.9	127.97	2.87
1.0	1.0	142.19	3.42
1.1	1.1	295.87	4.01
1.2	1.2	449.55	4.63
1.3	1.3	603.23	5.27
1.4	1.4	756.91	5.94
1.5	1.5	910.59	6.64
1.6	1.6	1064.27	7.37
1.7	1.7	1217.96	8.12
1.8	1.8	1371.64	8.89
1.9	1.9	1525.32	13.54
2.0	2.0	1679.0	14.12
2.1	2.1	2062.5	14.67
2.2	2.2	2446.0	15.2
2.3	2.3	2829.5	15.72
2.4	2.4	3213.0	16.21
2.5	2.5	3596.5	16.69
2.6	2.6	3980.0	17.16
2.7	2.7	4363.5	17.61
2.8	2.8	4747.0	18.05
2.9	2.9	5130.5	18.48
3.0	3.0	5514.0	18.9
3.1	3.1	6108.6	19.31
3.2	3.2	6703.2	19.72
3.3	3.3	7297.8	20.11
3.4	3.4	7892.4	20.5
3.5	3.5	8487.0	20.88
3.6	3.6	9081.6	21.25
3.7	3.7	9676.2	21.61
3.8	3.8	10270.8	21.97
3.9	3.9	10865.4	22.33
4.0	4.0	11460.0	22.68
4.1	4.1	12311.6	23.02
4.2	4.2	13163.2	23.36
4.3	4.3	14014.8	23.69
4.4	4.4	14866.4	24.02
4.5	4.5	15718.0	24.34
4.6	4.6	16569.6	24.66
4.7	4.7	17421.2	24.98
4.8	4.8	18272.8	25.29
4.9	4.9	19124.4	25.6
5.0	5.0	19976.0	25.9
5.1	5.1	20080.29	26.2
5.107717672	5.107717672	21018.85	26.22
