	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	1.01	0.0
0.2	0.2	2.02	0.02
0.3	0.3	3.03	0.06
0.4	0.4	4.04	0.15
0.5	0.5	5.05	0.19
0.6	0.6	6.06	0.22
0.7	0.7	7.07	0.25
0.8	0.8	8.09	0.27
0.9	0.9	9.1	0.29
1.0	1.0	10.11	0.31
1.1	1.1	16.7	0.33
1.2	1.2	23.29	0.35
1.3	1.3	29.87	0.36
1.4	1.4	36.46	0.38
1.5	1.5	43.05	0.4
1.6	1.6	49.64	0.41
1.7	1.7	56.23	0.43
1.8	1.8	62.82	0.44
1.9	1.9	69.41	0.45
2.0	2.0	76.0	0.47
2.1	2.1	92.7	0.48
2.2	2.2	109.4	0.49
2.3	2.3	126.1	0.5
2.4	2.4	142.8	0.51
2.5	2.5	159.5	0.53
2.6	2.6	176.2	0.54
2.7	2.7	192.9	0.55
2.8	2.8	209.6	0.56
2.9	2.9	226.3	0.57
3.0	3.0	243.0	0.58
3.1	3.1	276.1	0.59
3.2	3.2	309.2	0.6
3.3	3.3	342.3	0.61
3.4	3.4	375.4	0.62
3.5	3.5	408.5	0.63
3.6	3.6	441.6	0.64
3.7	3.7	474.7	0.65
3.8	3.8	507.8	0.66
3.9	3.9	540.9	0.67
4.0	4.0	574.0	0.68
4.1	4.1	639.8	0.69
4.2	4.2	705.6	0.69
4.3	4.3	771.4	0.7
4.4	4.4	837.2	0.71
4.5	4.5	903.0	0.72
4.6	4.6	968.8	0.73
4.7	4.7	1034.6	0.74
4.8	4.8	1100.4	0.74
4.9	4.9	1166.2	0.75
5.0	5.0	1232.0	0.76
5.1	5.1	1241.17	0.77
5.111502401	5.111502401	1323.75	0.77
