	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	19.0	0.0
0.2	0.2	37.99	0.24
0.3	0.3	56.99	0.71
0.4	0.4	75.98	1.34
0.5	0.5	94.98	2.07
0.6	0.6	113.97	2.92
0.7	0.7	132.97	3.88
0.8	0.8	151.96	4.89
0.9	0.9	170.96	5.98
1.0	1.0	189.95	7.13
1.1	1.1	812.76	8.35
1.2	1.2	1435.56	9.64
1.3	1.3	2058.37	10.98
1.4	1.4	2681.17	12.38
1.5	1.5	3303.98	13.84
1.6	1.6	3926.78	15.35
1.7	1.7	4549.59	16.91
1.8	1.8	5172.39	18.52
1.9	1.9	5795.2	27.36
2.0	2.0	6418.0	28.49
2.1	2.1	9536.1	29.58
2.2	2.2	12654.2	30.63
2.3	2.3	15772.3	31.64
2.4	2.4	18890.4	32.62
2.5	2.5	22008.5	33.57
2.6	2.6	25126.6	34.49
2.7	2.7	28244.7	35.39
2.8	2.8	31362.8	36.27
2.9	2.9	34480.9	37.12
3.0	3.0	37599.0	37.95
3.1	3.1	42848.99	38.77
3.2	3.2	48098.97	39.57
3.3	3.3	53348.96	40.35
3.4	3.4	58598.95	41.12
3.5	3.5	63848.93	41.87
3.6	3.6	69098.92	42.61
3.7	3.7	74348.91	43.34
3.776966356	3.776966356	90098.87	43.89
