	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	129.12	0.0
0.2	0.2	258.25	0.02
0.3	0.3	387.37	0.06
0.4	0.4	516.49	0.15
0.5	0.5	645.62	0.19
0.6	0.6	774.74	0.22
0.7	0.7	903.86	0.25
0.8	0.8	1032.99	0.27
0.9	0.9	1162.11	0.29
1.0	1.0	1291.23	0.31
1.1	1.1	1958.71	0.33
1.2	1.2	2626.19	0.35
1.3	1.3	3293.66	0.36
1.4	1.4	3961.14	0.38
1.5	1.5	4628.62	0.4
1.6	1.6	5296.09	0.41
1.7	1.7	5963.57	0.43
1.8	1.8	6631.05	0.44
1.9	1.9	7298.52	0.45
2.0	2.0	7966.0	0.47
2.1	2.1	8471.6	0.48
2.2	2.2	8977.2	0.49
2.3	2.3	9482.8	0.5
2.4	2.4	9988.4	0.51
2.439424001	2.439424001	13021.99	0.52
