	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	7.22	0.0
0.2	0.2	14.45	0.09
0.3	0.3	21.67	0.26
0.4	0.4	28.9	0.48
0.5	0.5	36.12	0.75
0.6	0.6	43.35	1.05
0.7	0.7	50.57	1.4
0.8	0.8	57.79	1.76
0.9	0.9	65.02	2.15
1.0	1.0	72.24	2.57
1.1	1.1	137.62	3.01
1.2	1.2	202.99	3.47
1.3	1.3	268.37	3.95
1.4	1.4	333.75	4.46
1.5	1.5	399.12	6.79
1.6	1.6	464.5	7.15
1.7	1.7	529.87	7.49
1.8	1.8	595.25	7.82
1.9	1.9	660.62	8.13
2.0	2.0	726.0	8.43
2.1	2.1	1056.5	8.72
2.2	2.2	1387.0	9.0
2.3	2.3	1717.5	9.28
2.4	2.4	2048.0	9.54
2.5	2.5	2378.5	9.8
2.6	2.6	2709.0	10.05
2.7	2.7	3039.5	10.29
2.8	2.8	3370.0	10.53
2.9	2.9	3700.5	10.76
3.0	3.0	4031.0	10.99
3.0541485	3.0541485	4321.33	11.11
