	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	1.33	0.0
0.2	0.2	2.66	0.02
0.3	0.3	3.99	0.06
0.4	0.4	5.32	0.15
0.5	0.5	6.65	0.19
0.6	0.6	7.98	0.22
0.7	0.7	9.31	0.25
0.8	0.8	10.64	0.27
0.9	0.9	11.97	0.29
1.0	1.0	13.29	0.31
1.1	1.1	21.87	0.33
1.2	1.2	30.44	0.35
1.3	1.3	39.01	0.36
1.4	1.4	47.58	0.38
1.5	1.5	56.15	0.4
1.6	1.6	64.72	0.41
1.7	1.7	73.29	0.43
1.8	1.8	81.86	0.44
1.9	1.9	90.43	0.45
2.0	2.0	99.0	0.47
2.1	2.1	118.3	0.48
2.2	2.2	137.6	0.49
2.3	2.3	156.9	0.5
2.4	2.4	176.2	0.51
2.5	2.5	195.5	0.53
2.6	2.6	214.8	0.54
2.7	2.7	234.1	0.55
2.8	2.8	253.4	0.56
2.9	2.9	272.7	0.57
3.0	3.0	292.0	0.58
3.1	3.1	328.1	0.59
3.2	3.2	364.2	0.6
3.3	3.3	400.3	0.61
3.4	3.4	436.4	0.62
3.5	3.5	472.5	0.63
3.6	3.6	508.6	0.64
3.7	3.7	544.7	0.65
3.8	3.8	580.8	0.66
3.9	3.9	616.9	0.67
4.0	4.0	653.0	0.68
4.1	4.1	710.4	0.69
4.2	4.2	767.8	0.69
4.3	4.3	825.2	0.7
4.4	4.4	882.6	0.71
4.5	4.5	940.0	0.72
4.6	4.6	997.4	0.73
4.7	4.7	1054.8	0.74
4.8	4.8	1112.2	0.74
4.9	4.9	1169.6	0.75
5.0	5.0	1227.0	0.76
5.087030188	5.087030188	1285.29	0.77
