	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	5.8	0.0
0.2	0.2	11.59	0.09
0.3	0.3	17.39	0.26
0.4	0.4	23.19	0.48
0.5	0.5	28.98	0.75
0.6	0.6	34.78	1.05
0.7	0.7	40.58	1.4
0.8	0.8	46.37	1.76
0.9	0.9	52.17	2.15
1.0	1.0	57.97	2.57
1.1	1.1	98.57	3.01
1.2	1.2	139.17	3.47
1.3	1.3	179.78	3.95
1.4	1.4	220.38	4.46
1.5	1.5	260.98	6.79
1.6	1.6	301.59	7.15
1.7	1.7	342.19	7.49
1.8	1.8	382.79	7.82
1.9	1.9	423.4	8.13
2.0	2.0	464.0	8.43
2.1	2.1	557.9	8.72
2.2	2.2	651.8	9.0
2.3	2.3	745.7	9.28
2.4	2.4	839.6	9.54
2.5	2.5	933.5	9.8
2.6	2.6	1027.4	10.05
2.7	2.7	1121.3	10.29
2.8	2.8	1215.2	10.53
2.9	2.9	1309.1	10.76
3.0	3.0	1403.0	10.99
3.1	3.1	1551.5	11.21
3.2	3.2	1700.0	11.43
3.3	3.3	1848.5	11.65
3.4	3.4	1997.0	11.86
3.5	3.5	2145.5	12.06
3.6	3.6	2294.0	12.27
3.7	3.7	2442.5	12.47
3.8	3.8	2591.0	12.67
3.9	3.9	2739.5	12.86
4.0	4.0	2888.0	13.05
4.1	4.1	3088.3	13.24
4.2	4.2	3288.6	13.42
4.3	4.3	3488.9	13.61
4.4	4.4	3689.2	13.79
4.5	4.5	3889.5	13.97
4.6	4.6	4089.8	14.14
4.7	4.7	4290.1	14.32
4.8	4.8	4490.4	14.49
4.9	4.9	4690.7	14.66
5.0	5.0	4891.0	14.83
5.090922788	5.090922788	5088.93	14.98
