	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	10.18	0.0
0.2	0.2	20.36	0.08
0.3	0.3	30.53	0.23
0.4	0.4	40.71	0.43
0.5	0.5	50.89	0.66
0.6	0.6	61.07	0.94
0.7	0.7	71.25	1.24
0.8	0.8	81.42	1.57
0.9	0.9	91.6	1.91
1.0	1.0	101.78	2.28
1.1	1.1	194.7	2.67
1.2	1.2	287.62	3.08
1.3	1.3	380.55	4.91
1.4	1.4	473.47	5.23
1.5	1.5	566.39	5.52
1.6	1.6	659.31	5.79
1.7	1.7	752.23	6.06
1.8	1.8	845.16	6.31
1.9	1.9	938.08	6.55
2.0	2.0	1031.0	6.78
2.1	2.1	1270.6	7.01
2.2	2.2	1510.2	7.23
2.3	2.3	1749.8	7.44
2.4	2.4	1989.4	7.64
2.5	2.5	2229.0	7.84
2.6	2.6	2468.6	8.04
2.7	2.7	2708.2	8.23
2.8	2.8	2947.8	8.41
2.9	2.9	3187.4	8.6
3.0	3.0	3427.0	8.77
3.1	3.1	3851.6	8.95
3.2	3.2	4276.2	9.12
3.3	3.3	4700.8	9.29
3.4	3.4	5125.4	9.45
3.5	3.5	5550.0	9.62
3.6	3.6	5974.6	9.77
3.7	3.7	6399.2	9.93
3.8	3.8	6823.8	10.09
3.9	3.9	7248.4	10.24
4.0	4.0	7673.0	10.39
4.1	4.1	8380.7	10.54
4.2	4.2	9088.4	10.68
4.3	4.3	9796.1	10.82
4.4	4.4	10503.8	10.97
4.5	4.5	11211.5	11.11
4.6	4.6	11919.2	11.24
4.7	4.7	12626.9	11.38
4.8	4.8	13334.6	11.52
4.9	4.9	14042.3	11.65
5.0	5.0	14750.0	11.78
5.1	5.1	14845.25	11.91
5.10611019	5.10611019	15702.5	11.92
