	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	2.54	0.0
0.2	0.2	5.09	0.09
0.3	0.3	7.63	0.28
0.4	0.4	10.17	0.54
0.5	0.5	12.72	0.83
0.6	0.6	15.26	1.17
0.7	0.7	17.8	1.55
0.8	0.8	20.35	1.96
0.9	0.9	22.89	2.39
1.0	1.0	25.43	2.85
1.1	1.1	44.59	3.34
1.2	1.2	63.75	3.86
1.3	1.3	82.9	4.39
1.4	1.4	102.06	4.95
1.5	1.5	121.22	5.54
1.6	1.6	140.37	8.59
1.7	1.7	159.53	9.02
1.8	1.8	178.69	9.44
1.9	1.9	197.84	9.83
2.0	2.0	217.0	10.21
2.1	2.1	277.0	10.58
2.2	2.2	337.0	10.93
2.3	2.3	397.0	11.28
2.4	2.4	457.0	11.61
2.5	2.5	517.0	11.93
2.6	2.6	577.0	12.24
2.7	2.7	637.0	12.55
2.8	2.8	697.0	12.85
2.9	2.9	757.0	13.14
3.0	3.0	817.0	13.42
3.1	3.1	954.0	13.7
3.2	3.2	1091.0	13.97
3.3	3.3	1228.0	14.24
3.4	3.4	1365.0	14.51
3.5	3.5	1502.0	14.76
3.6	3.6	1639.0	15.02
3.7	3.7	1776.0	15.27
3.8	3.8	1913.0	15.51
3.9	3.9	2050.0	15.75
4.0	4.0	2187.0	15.99
4.1	4.1	2440.6	16.23
4.2	4.2	2694.2	16.46
4.3	4.3	2947.8	16.68
4.4	4.4	3201.4	16.91
4.5	4.5	3455.0	17.13
4.6	4.6	3708.6	17.35
4.7	4.7	3962.2	17.57
4.8	4.8	4215.8	17.78
4.9	4.9	4469.4	17.99
5.0	5.0	4723.0	18.2
5.1	5.1	4774.56	18.4
5.150516265	5.150516265	5238.56	18.51
