	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.22	0.0
0.2	0.2	0.44	0.02
0.3	0.3	0.66	0.06
0.4	0.4	0.88	0.15
0.5	0.5	1.1	0.19
0.6	0.6	1.32	0.22
0.7	0.7	1.54	0.25
0.8	0.8	1.76	0.27
0.9	0.9	1.98	0.29
1.0	1.0	2.2	0.31
1.1	1.1	4.18	0.33
1.2	1.2	6.16	0.35
1.3	1.3	8.14	0.36
1.4	1.4	10.12	0.38
1.5	1.5	12.1	0.4
1.6	1.6	14.08	0.41
1.7	1.7	16.06	0.43
1.8	1.8	18.04	0.44
1.9	1.9	20.02	0.45
2.0	2.0	22.0	0.47
2.1	2.1	29.2	0.48
2.2	2.2	36.4	0.49
2.3	2.3	43.6	0.5
2.4	2.4	50.8	0.51
2.5	2.5	58.0	0.53
2.6	2.6	65.2	0.54
2.7	2.7	72.4	0.55
2.8	2.8	79.6	0.56
2.9	2.9	86.8	0.57
3.0	3.0	94.0	0.58
3.1	3.1	117.4	0.59
3.2	3.2	140.8	0.6
3.3	3.3	164.2	0.61
3.4	3.4	187.6	0.62
3.5	3.5	211.0	0.63
3.6	3.6	234.4	0.64
3.7	3.7	257.8	0.65
3.8	3.8	281.2	0.66
3.9	3.9	304.6	0.67
4.0	4.0	328.0	0.68
4.1	4.1	375.0	0.69
4.2	4.2	422.0	0.69
4.3	4.3	469.0	0.7
4.4	4.4	516.0	0.71
4.5	4.5	563.0	0.72
4.6	4.6	610.0	0.73
4.7	4.7	657.0	0.74
4.8	4.8	704.0	0.74
4.9	4.9	751.0	0.75
5.0	5.0	798.0	0.76
5.094184411	5.094184411	856.29	0.77
