	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	41.9	0.0
0.2	0.2	83.81	0.24
0.3	0.3	125.71	0.71
0.4	0.4	167.62	1.34
0.5	0.5	209.52	2.07
0.6	0.6	251.42	2.92
0.7	0.7	293.33	3.88
0.8	0.8	335.23	4.89
0.9	0.9	377.14	5.98
1.0	1.0	419.04	7.13
1.1	1.1	712.74	8.35
1.2	1.2	1006.43	9.64
1.3	1.3	1300.13	10.98
1.4	1.4	1593.82	12.38
1.5	1.5	1887.52	13.84
1.6	1.6	2181.22	15.35
1.7	1.7	2474.91	16.91
1.8	1.8	2768.61	18.52
1.9	1.9	3062.3	20.18
2.0	2.0	3356.0	21.88
2.1	2.1	4182.7	23.63
2.2	2.2	5009.4	25.43
2.3	2.3	5836.1	27.26
2.4	2.4	6662.8	29.14
2.5	2.5	7489.5	42.45
2.6	2.6	8316.2	43.79
2.7	2.7	9142.9	45.09
2.8	2.8	9969.6	46.34
2.9	2.9	10796.3	47.56
3.0	3.0	11623.0	48.75
3.1	3.1	13527.3	49.91
3.2	3.2	15431.6	51.05
3.3	3.3	17335.9	52.15
3.4	3.4	19240.2	53.24
3.5	3.5	21144.5	54.3
3.6	3.6	23048.8	55.34
3.7	3.7	24953.1	56.36
3.8	3.8	26857.4	57.36
3.9	3.9	28761.7	58.34
4.0	4.0	30666.0	59.31
4.1	4.1	34916.5	60.26
4.2	4.2	39167.0	61.19
4.3	4.3	43417.5	62.12
4.4	4.4	47668.0	63.02
4.5	4.5	51918.5	63.92
4.6	4.6	56169.0	64.8
4.7	4.7	60419.5	65.67
4.8	4.8	64670.0	66.53
4.9	4.9	68920.5	67.38
5.0	5.0	73171.0	68.21
5.1	5.1	73842.67	69.04
5.114729496	5.114729496	79887.68	69.16
