	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	90.69	0.0
0.2	0.2	181.38	0.24
0.3	0.3	272.07	0.71
0.4	0.4	362.77	1.34
0.5	0.5	453.46	2.07
0.6	0.6	544.15	2.92
0.7	0.7	634.84	3.88
0.8	0.8	725.53	6.66
0.9	0.9	816.22	7.36
1.0	1.0	906.91	7.99
1.1	1.1	1584.82	8.57
1.2	1.2	2262.73	9.11
1.3	1.3	2940.64	9.62
1.4	1.4	3618.55	10.11
1.5	1.5	4296.46	10.57
1.6	1.6	4974.37	11.01
1.7	1.7	5652.27	11.44
1.8	1.8	6330.18	11.85
1.9	1.9	7008.09	12.25
2.0	2.0	7686.0	12.63
2.1	2.1	7874.95	13.0
2.179162813	2.179162813	9575.51	13.29
