	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	16.81	0.0
0.2	0.2	33.62	0.09
0.3	0.3	50.42	0.28
0.4	0.4	67.23	0.54
0.5	0.5	84.04	0.83
0.6	0.6	100.85	1.17
0.7	0.7	117.65	1.55
0.8	0.8	134.46	1.96
0.9	0.9	151.27	2.39
1.0	1.0	168.08	2.85
1.1	1.1	252.07	3.34
1.2	1.2	336.06	3.86
1.3	1.3	420.05	4.39
1.4	1.4	504.05	4.95
1.5	1.5	588.04	5.54
1.6	1.6	672.03	8.59
1.7	1.7	756.02	9.02
1.8	1.8	840.02	9.44
1.9	1.9	924.01	9.83
2.0	2.0	1008.0	10.21
2.1	2.1	1233.3	10.58
2.2	2.2	1458.6	10.93
2.3	2.3	1683.9	11.28
2.4	2.4	1909.2	11.61
2.5	2.5	2134.5	11.93
2.6	2.6	2359.8	12.24
2.7	2.7	2585.1	12.55
2.8	2.8	2810.4	12.85
2.9	2.9	3035.7	13.14
3.0	3.0	3261.0	13.42
3.1	3.1	3747.0	13.7
3.2	3.2	4233.0	13.97
3.3	3.3	4719.0	14.24
3.4	3.4	5205.0	14.51
3.5	3.5	5691.0	14.76
3.6	3.6	6177.0	15.02
3.7	3.7	6663.0	15.27
3.8	3.8	7149.0	15.51
3.9	3.9	7635.0	15.75
4.0	4.0	8121.0	15.99
4.1	4.1	8863.6	16.23
4.2	4.2	9606.2	16.46
4.3	4.3	10348.8	16.68
4.4	4.4	11091.4	16.91
4.5	4.5	11834.0	17.13
4.6	4.6	12576.6	17.35
4.7	4.7	13319.2	17.57
4.8	4.8	14061.8	17.78
4.9	4.9	14804.4	17.99
5.0	5.0	15547.0	18.2
5.1	5.1	15661.66	18.4
5.130876854	5.130876854	16693.58	18.47
