	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	28.16	0.0
0.2	0.2	56.31	0.02
0.3	0.3	84.47	0.06
0.4	0.4	112.62	0.15
0.5	0.5	140.78	0.19
0.6	0.6	168.94	0.22
0.7	0.7	197.09	0.25
0.8	0.8	225.25	0.27
0.9	0.9	253.4	0.29
1.0	1.0	281.56	0.31
1.1	1.1	470.2	0.33
1.2	1.2	658.85	0.35
1.3	1.3	847.49	0.36
1.4	1.4	1036.14	0.38
1.5	1.5	1224.78	0.4
1.6	1.6	1413.42	0.41
1.7	1.7	1602.07	0.43
1.8	1.8	1790.71	0.44
1.9	1.9	1979.36	0.45
2.0	2.0	2168.0	0.47
2.1	2.1	2635.1	0.48
2.2	2.2	3102.2	0.49
2.3	2.3	3569.3	0.5
2.4	2.4	4036.4	0.51
2.5	2.5	4503.5	0.53
2.6	2.6	4970.6	0.54
2.7	2.7	5437.7	0.55
2.8	2.8	5904.8	0.56
2.9	2.9	6371.9	0.57
3.0	3.0	6839.0	0.58
3.081939011	3.081939011	7389.91	0.59
