	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.35	0.0
0.2	0.2	0.7	0.02
0.3	0.3	1.05	0.06
0.4	0.4	1.4	0.15
0.5	0.5	1.75	0.19
0.6	0.6	2.1	0.22
0.7	0.7	2.45	0.25
0.8	0.8	2.81	0.27
0.9	0.9	3.16	0.29
1.0	1.0	3.51	0.31
1.1	1.1	8.46	0.33
1.2	1.2	13.41	0.35
1.3	1.3	18.35	0.36
1.4	1.4	23.3	0.38
1.5	1.5	28.25	0.4
1.6	1.6	33.2	0.41
1.7	1.7	38.15	0.43
1.8	1.8	43.1	0.44
1.9	1.9	48.05	0.45
2.0	2.0	53.0	0.47
2.1	2.1	87.6	0.48
2.2	2.2	122.2	0.49
2.3	2.3	156.8	0.5
2.4	2.4	191.4	0.51
2.5	2.5	226.0	0.53
2.6	2.6	260.6	0.54
2.7	2.7	295.2	0.55
2.8	2.8	329.8	0.56
2.9	2.9	364.4	0.57
3.0	3.0	399.0	0.58
3.1	3.1	448.08	0.59
3.2	3.2	497.16	0.6
3.3	3.3	546.24	0.61
3.4	3.4	595.32	0.62
3.5	3.5	644.4	0.63
3.540109154	3.540109154	889.8	0.63
