	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.77	0.0
0.2	0.2	1.53	0.02
0.3	0.3	2.3	0.06
0.4	0.4	3.07	0.15
0.5	0.5	3.83	0.19
0.6	0.6	4.6	0.22
0.7	0.7	5.37	0.25
0.8	0.8	6.14	0.27
0.9	0.9	6.9	0.29
1.0	1.0	7.67	0.31
1.1	1.1	28.2	0.33
1.2	1.2	48.74	0.35
1.3	1.3	69.27	0.36
1.4	1.4	89.8	0.38
1.5	1.5	110.33	0.4
1.6	1.6	130.87	0.41
1.7	1.7	151.4	0.43
1.8	1.8	171.93	0.44
1.9	1.9	192.47	0.45
2.0	2.0	213.0	0.47
2.1	2.1	275.1	0.48
2.2	2.2	337.2	0.49
2.3	2.3	399.3	0.5
2.4	2.4	461.4	0.51
2.5	2.5	523.5	0.53
2.6	2.6	585.6	0.54
2.7	2.7	647.7	0.55
2.8	2.8	709.8	0.56
2.9	2.9	771.9	0.57
3.0	3.0	834.0	0.58
3.1	3.1	945.4	0.59
3.2	3.2	1056.8	0.6
3.3	3.3	1168.2	0.61
3.4	3.4	1279.6	0.62
3.5	3.5	1391.0	0.63
3.6	3.6	1502.4	0.64
3.7	3.7	1613.8	0.65
3.8	3.8	1725.2	0.66
3.9	3.9	1836.6	0.67
4.0	4.0	1948.0	0.68
4.1	4.1	2145.2	0.69
4.2	4.2	2342.4	0.69
4.3	4.3	2539.6	0.7
4.4	4.4	2736.8	0.71
4.5	4.5	2934.0	0.72
4.6	4.6	3131.2	0.73
4.7	4.7	3328.4	0.74
4.8	4.8	3525.6	0.74
4.9	4.9	3722.8	0.75
5.0	5.0	3920.0	0.76
5.1	5.1	3947.36	0.77
5.114016519	5.114016519	4193.61	0.77
