	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	15.56	0.0
0.2	0.2	31.12	0.02
0.3	0.3	46.68	0.06
0.4	0.4	62.24	0.15
0.5	0.5	77.8	0.19
0.6	0.6	93.37	0.22
0.7	0.7	108.93	0.25
0.8	0.8	124.49	0.27
0.9	0.9	140.05	0.29
1.0	1.0	155.61	0.31
1.1	1.1	232.95	0.33
1.2	1.2	310.29	0.35
1.3	1.3	387.63	0.36
1.4	1.4	464.97	0.38
1.5	1.5	542.3	0.4
1.6	1.6	619.64	0.41
1.7	1.7	696.98	0.43
1.8	1.8	774.32	0.44
1.9	1.9	851.66	0.45
2.0	2.0	929.0	0.47
2.1	2.1	1085.3	0.48
2.2	2.2	1241.6	0.49
2.3	2.3	1397.9	0.5
2.4	2.4	1554.2	0.51
2.5	2.5	1710.5	0.53
2.6	2.6	1866.8	0.54
2.7	2.7	2023.1	0.55
2.8	2.8	2179.4	0.56
2.9	2.9	2335.7	0.57
3.0	3.0	2492.0	0.58
3.1	3.1	2729.5	0.59
3.2	3.2	2967.0	0.6
3.3	3.3	3204.5	0.61
3.4	3.4	3442.0	0.62
3.5	3.5	3679.5	0.63
3.6	3.6	3917.0	0.64
3.7	3.7	4154.5	0.65
3.8	3.8	4392.0	0.66
3.9	3.9	4629.5	0.67
4.0	4.0	4867.0	0.68
4.1	4.1	5184.5	0.69
4.2	4.2	5502.0	0.69
4.3	4.3	5819.5	0.7
4.4	4.4	6137.0	0.71
4.5	4.5	6454.5	0.72
4.6	4.6	6772.0	0.73
4.7	4.7	7089.5	0.74
4.8	4.8	7407.0	0.74
4.9	4.9	7724.5	0.75
5.0	5.0	8042.0	0.76
5.037304493	5.037304493	8173.17	0.76
