	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.84	0.0
0.2	0.2	1.69	0.02
0.3	0.3	2.53	0.06
0.4	0.4	3.38	0.15
0.5	0.5	4.22	0.19
0.6	0.6	5.07	0.22
0.7	0.7	5.91	0.25
0.8	0.8	6.76	0.27
0.9	0.9	7.6	0.29
1.0	1.0	8.44	0.31
1.1	1.1	12.7	0.33
1.2	1.2	16.96	0.35
1.3	1.3	21.21	0.36
1.4	1.4	25.47	0.38
1.5	1.5	29.72	0.4
1.6	1.6	33.98	0.41
1.7	1.7	38.23	0.43
1.8	1.8	42.49	0.44
1.9	1.9	46.74	0.45
2.0	2.0	51.0	0.47
2.1	2.1	64.0	0.48
2.2	2.2	77.0	0.49
2.3	2.3	90.0	0.5
2.4	2.4	103.0	0.51
2.5	2.5	116.0	0.53
2.6	2.6	129.0	0.54
2.7	2.7	142.0	0.55
2.8	2.8	155.0	0.56
2.9	2.9	168.0	0.57
3.0	3.0	181.0	0.58
3.1	3.1	211.6	0.59
3.2	3.2	242.2	0.6
3.3	3.3	272.8	0.61
3.4	3.4	303.4	0.62
3.5	3.5	334.0	0.63
3.6	3.6	364.6	0.64
3.7	3.7	395.2	0.65
3.8	3.8	425.8	0.66
3.9	3.9	456.4	0.67
4.0	4.0	487.0	0.68
4.1	4.1	542.4	0.69
4.2	4.2	597.8	0.69
4.3	4.3	653.2	0.7
4.4	4.4	708.6	0.71
4.5	4.5	764.0	0.72
4.6	4.6	819.4	0.73
4.7	4.7	874.8	0.74
4.8	4.8	930.2	0.74
4.9	4.9	985.6	0.75
5.0	5.0	1041.0	0.76
5.1	5.1	1048.89	0.77
5.117991977	5.117991977	1119.88	0.77
