	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.74	0.0
0.2	0.2	1.48	0.02
0.3	0.3	2.22	0.06
0.4	0.4	2.96	0.15
0.5	0.5	3.7	0.19
0.6	0.6	4.43	0.22
0.7	0.7	5.17	0.25
0.8	0.8	5.91	0.27
0.9	0.9	6.65	0.29
1.0	1.0	7.39	0.31
1.1	1.1	12.05	0.33
1.2	1.2	16.71	0.35
1.3	1.3	21.37	0.36
1.4	1.4	26.03	0.38
1.5	1.5	30.7	0.4
1.6	1.6	35.36	0.41
1.7	1.7	40.02	0.43
1.8	1.8	44.68	0.44
1.9	1.9	49.34	0.45
2.0	2.0	54.0	0.47
2.1	2.1	73.9	0.48
2.2	2.2	93.8	0.49
2.3	2.3	113.7	0.5
2.4	2.4	133.6	0.51
2.5	2.5	153.5	0.53
2.6	2.6	173.4	0.54
2.7	2.7	193.3	0.55
2.8	2.8	213.2	0.56
2.9	2.9	233.1	0.57
3.0	3.0	253.0	0.58
3.1	3.1	307.8	0.59
3.2	3.2	362.6	0.6
3.3	3.3	417.4	0.61
3.4	3.4	472.2	0.62
3.5	3.5	527.0	0.63
3.6	3.6	581.8	0.64
3.7	3.7	636.6	0.65
3.8	3.8	691.4	0.66
3.9	3.9	746.2	0.67
4.0	4.0	801.0	0.68
4.1	4.1	910.7	0.69
4.2	4.2	1020.4	0.69
4.3	4.3	1130.1	0.7
4.4	4.4	1239.8	0.71
4.5	4.5	1349.5	0.72
4.6	4.6	1459.2	0.73
4.7	4.7	1568.9	0.74
4.8	4.8	1678.6	0.74
4.9	4.9	1788.3	0.75
5.0	5.0	1898.0	0.76
5.098382459	5.098382459	2048.78	0.77
