damID	depth	storage	outflow_rect
200030	4.477247159	8455.71	0.72
200031	0.0	0.0	0.0
200031	0.1	11.14	0.0
200031	0.2	22.28	0.02
200031	0.3	33.42	0.06
200031	0.4	44.56	0.15
200031	0.5	55.7	0.19
200031	0.6	66.84	0.22
200031	0.7	77.98	0.25
200031	0.8	89.12	0.27
200031	0.9	100.26	0.29
200031	1.0	111.4	0.31
200031	1.1	185.96	0.33
200031	1.2	260.52	0.35
200031	1.3	335.08	0.36
200031	1.4	409.64	0.38
200031	1.5	484.2	0.4
200031	1.6	558.76	0.41
200031	1.7	633.32	0.43
200031	1.8	707.88	0.44
200031	1.9	782.44	0.45
200031	2.0	857.0	0.47
200031	2.1	1060.2	0.48
200031	2.2	1263.4	0.49
200031	2.3	1466.6	0.5
200031	2.4	1669.8	0.51
200031	2.5	1873.0	0.53
200031	2.6	2076.2	0.54
200031	2.7	2279.4	0.55
200031	2.8	2482.6	0.56
200031	2.9	2685.8	0.57
200031	3.0	2889.0	0.58
200031	3.1	3259.3	0.59
200031	3.2	3629.6	0.6
200031	3.3	3999.9	0.61
200031	3.4	4370.2	0.62
200031	3.5	4740.5	0.63
200031	3.6	5110.8	0.64
200031	3.7	5481.1	0.65
200031	3.8	5851.4	0.66
200031	3.9	6221.7	0.67
200031	4.0	6592.0	0.68
200031	4.1	7134.6	0.69
200031	4.2	7677.2	0.69
200031	4.3	8219.8	0.7
200031	4.4	8762.4	0.71
200031	4.5	9305.0	0.72
200031	4.6	9847.6	0.73
200031	4.7	10390.2	0.74
200031	4.8	10932.8	0.74
200031	4.9	11475.4	0.75
200031	5.0	12018.0	0.76
200031	5.094147539	12623.73	0.77
200034	0.0	0.0	0.0
200034	0.1	17.87	0.0
200034	0.2	35.74	0.02
200034	0.3	53.62	0.06
200034	0.4	71.49	0.15
200034	0.5	89.36	0.19
200034	0.6	107.23	0.22
200034	0.7	125.11	0.25
200034	0.8	142.98	0.27
200034	0.9	160.85	0.29
200034	1.0	178.72	0.31
200034	1.1	197.81	0.33
200034	1.2	216.89	0.35
200034	1.296400388	369.56	0.36
200035	0.0	0.0	0.0
200035	0.1	20.56	0.0
200035	0.2	41.11	0.02
200035	0.3	61.67	0.06
200035	0.4	82.23	0.15
200035	0.5	102.78	0.19
200035	0.6	123.34	0.22
200035	0.7	143.9	0.25
200035	0.8	164.45	0.27
200035	0.9	185.01	0.29
200035	1.0	205.56	0.31
200035	1.1	318.91	0.33
200035	1.2	432.25	0.35
200035	1.3	545.6	0.36
200035	1.4	658.94	0.38
200035	1.5	772.28	0.4
200035	1.6	885.63	0.41
200035	1.7	998.97	0.43
200035	1.8	1112.31	0.44
200035	1.9	1225.66	0.45
200035	2.0	1339.0	0.47
