	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	15.12	0.0
0.2	0.2	30.24	0.12
0.3	0.3	45.36	0.37
0.4	0.4	60.49	0.7
0.5	0.5	75.61	1.08
0.6	0.6	90.73	1.52
0.7	0.7	105.85	2.02
0.8	0.8	120.97	2.54
0.9	0.9	136.09	3.11
1.0	1.0	151.21	3.71
1.1	1.1	242.49	4.34
1.2	1.2	333.77	5.01
1.3	1.3	425.05	5.71
1.4	1.4	516.33	6.44
1.5	1.5	607.61	7.2
1.6	1.6	698.89	7.98
1.7	1.7	790.16	8.79
1.8	1.8	881.44	9.63
1.9	1.9	972.72	10.49
2.0	2.0	1064.0	11.38
2.1	2.1	1371.3	16.87
2.2	2.2	1678.6	17.51
2.3	2.3	1985.9	18.13
2.4	2.4	2293.2	18.72
2.5	2.5	2600.5	19.29
2.6	2.6	2907.8	19.85
2.7	2.7	3215.1	20.39
2.8	2.8	3522.4	20.91
2.9	2.9	3829.7	21.43
3.0	3.0	4137.0	21.93
3.1	3.1	4777.4	22.42
3.2	3.2	5417.8	22.89
3.3	3.3	6058.2	23.36
3.4	3.4	6698.6	23.82
3.5	3.5	7339.0	24.27
3.6	3.6	7979.4	24.71
3.7	3.7	8619.8	25.14
3.8	3.8	9260.2	25.57
3.9	3.9	9900.6	25.99
4.0	4.0	10541.0	26.4
4.1	4.1	11582.3	26.81
4.2	4.2	12623.6	27.21
4.3	4.3	13664.9	27.6
4.4	4.4	14706.2	27.99
4.5	4.5	15747.5	28.37
4.6	4.6	16788.8	28.75
4.7	4.7	17830.1	29.12
4.8	4.8	18871.4	29.49
4.9	4.9	19912.7	29.85
5.0	5.0	20954.0	30.21
5.030387095	5.030387095	21340.18	30.32
