	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	4.55	0.0
0.2	0.2	9.09	0.02
0.3	0.3	13.64	0.06
0.4	0.4	18.19	0.15
0.5	0.5	22.73	0.19
0.6	0.6	27.28	0.22
0.7	0.7	31.83	0.25
0.8	0.8	36.37	0.27
0.9	0.9	40.92	0.29
1.0	1.0	45.47	0.31
1.1	1.1	78.72	0.33
1.2	1.2	111.97	0.35
1.3	1.3	145.23	0.36
1.4	1.4	178.48	0.38
1.5	1.5	211.73	0.4
1.6	1.6	244.99	0.41
1.7	1.7	278.24	0.43
1.8	1.8	311.49	0.44
1.9	1.9	344.75	0.45
2.0	2.0	378.0	0.47
2.1	2.1	467.6	0.48
2.2	2.2	557.2	0.49
2.3	2.3	646.8	0.5
2.4	2.4	736.4	0.51
2.5	2.5	826.0	0.53
2.6	2.6	915.6	0.54
2.7	2.7	1005.2	0.55
2.8	2.8	1094.8	0.56
2.9	2.9	1184.4	0.57
3.0	3.0	1274.0	0.58
3.1	3.1	1433.6	0.59
3.2	3.2	1593.2	0.6
3.3	3.3	1752.8	0.61
3.4	3.4	1912.4	0.62
3.5	3.5	2072.0	0.63
3.6	3.6	2231.6	0.64
3.7	3.7	2391.2	0.65
3.8	3.8	2550.8	0.66
3.9	3.9	2710.4	0.67
4.0	4.0	2870.0	0.68
4.1	4.1	3093.6	0.69
4.2	4.2	3317.2	0.69
4.3	4.3	3540.8	0.7
4.4	4.4	3764.4	0.71
4.5	4.5	3988.0	0.72
4.6	4.6	4211.6	0.73
4.7	4.7	4435.2	0.74
4.8	4.8	4658.8	0.74
4.9	4.9	4882.4	0.75
5.0	5.0	5106.0	0.76
5.095547804	5.095547804	5345.91	0.77
