	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	10.16	0.0
0.2	0.2	20.32	0.02
0.3	0.3	30.48	0.06
0.4	0.4	40.64	0.15
0.5	0.5	50.8	0.19
0.6	0.6	60.96	0.22
0.7	0.7	71.12	0.25
0.8	0.8	81.28	0.27
0.9	0.9	91.44	0.29
1.0	1.0	101.6	0.31
1.1	1.1	143.34	0.33
1.2	1.2	185.08	0.35
1.3	1.3	226.82	0.36
1.4	1.4	268.56	0.38
1.5	1.5	310.3	0.4
1.6	1.6	352.04	0.41
1.7	1.7	393.78	0.43
1.8	1.8	435.52	0.44
1.9	1.9	477.26	0.45
2.0	2.0	519.0	0.47
2.1	2.1	610.6	0.48
2.2	2.2	702.2	0.49
2.3	2.3	793.8	0.5
2.4	2.4	885.4	0.51
2.5	2.5	977.0	0.53
2.6	2.6	1068.6	0.54
2.7	2.7	1160.2	0.55
2.8	2.8	1251.8	0.56
2.9	2.9	1343.4	0.57
3.0	3.0	1435.0	0.58
3.1	3.1	1577.2	0.59
3.2	3.2	1719.4	0.6
3.3	3.3	1861.6	0.61
3.4	3.4	2003.8	0.62
3.5	3.5	2146.0	0.63
3.6	3.6	2288.2	0.64
3.7	3.7	2430.4	0.65
3.8	3.8	2572.6	0.66
3.9	3.9	2714.8	0.67
4.0	4.0	2857.0	0.68
4.1	4.1	3091.9	0.69
4.2	4.2	3326.8	0.69
4.3	4.3	3561.7	0.7
4.4	4.4	3796.6	0.71
4.5	4.5	4031.5	0.72
4.6	4.6	4266.4	0.73
4.7	4.7	4501.3	0.74
4.8	4.8	4736.2	0.74
4.9	4.9	4971.1	0.75
5.0	5.0	5206.0	0.76
5.096441185	5.096441185	5490.38	0.77
