	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.74	0.0
0.2	0.2	1.47	0.02
0.3	0.3	2.21	0.06
0.4	0.4	2.94	0.15
0.5	0.5	3.68	0.19
0.6	0.6	4.41	0.22
0.7	0.7	5.15	0.25
0.8	0.8	5.88	0.27
0.9	0.9	6.62	0.29
1.0	1.0	7.35	0.31
1.1	1.1	12.02	0.33
1.2	1.2	16.68	0.35
1.3	1.3	21.35	0.36
1.4	1.4	26.01	0.38
1.5	1.5	30.68	0.4
1.6	1.6	35.34	0.41
1.7	1.7	40.01	0.43
1.8	1.8	44.67	0.44
1.9	1.9	49.34	0.45
2.0	2.0	54.0	0.47
2.1	2.1	66.2	0.48
2.2	2.2	78.4	0.49
2.3	2.3	90.6	0.5
2.4	2.4	102.8	0.51
2.5	2.5	115.0	0.53
2.6	2.6	127.2	0.54
2.7	2.7	139.4	0.55
2.8	2.8	151.6	0.56
2.9	2.9	163.8	0.57
3.0	3.0	176.0	0.58
3.1	3.1	200.3	0.59
3.2	3.2	224.6	0.6
3.3	3.3	248.9	0.61
3.4	3.4	273.2	0.62
3.5	3.5	297.5	0.63
3.6	3.6	321.8	0.64
3.7	3.7	346.1	0.65
3.8	3.8	370.4	0.66
3.9	3.9	394.7	0.67
4.0	4.0	419.0	0.68
4.1	4.1	460.0	0.69
4.2	4.2	501.0	0.69
4.3	4.3	542.0	0.7
4.4	4.4	583.0	0.71
4.5	4.5	624.0	0.72
4.6	4.6	665.0	0.73
4.7	4.7	706.0	0.74
4.8	4.8	747.0	0.74
4.9	4.9	788.0	0.75
5.0	5.0	829.0	0.76
5.1	5.1	838.58	0.77
5.194319345	5.194319345	924.79	0.78
