	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	9.33	0.0
0.2	0.2	18.66	0.07
0.3	0.3	27.99	0.2
0.4	0.4	37.31	0.38
0.5	0.5	46.64	0.58
0.6	0.6	55.97	0.82
0.7	0.7	65.3	1.09
0.8	0.8	74.63	1.37
0.9	0.9	83.96	1.67
1.0	1.0	93.29	2.0
1.1	1.1	173.66	2.34
1.2	1.2	254.03	3.65
1.3	1.3	334.4	3.89
1.4	1.4	414.77	4.12
1.5	1.5	495.14	4.34
1.6	1.6	575.51	4.54
1.7	1.7	655.89	4.74
1.8	1.8	736.26	4.93
1.9	1.9	816.63	5.11
2.0	2.0	897.0	5.28
2.1	2.1	1110.2	5.45
2.2	2.2	1323.4	5.62
2.3	2.3	1536.6	5.78
2.4	2.4	1749.8	5.93
2.5	2.5	1963.0	6.08
2.6	2.6	2176.2	6.23
2.7	2.7	2389.4	6.37
2.8	2.8	2602.6	6.51
2.9	2.9	2815.8	6.65
3.0	3.0	3029.0	6.79
3.1	3.1	3486.9	6.92
3.2	3.2	3944.8	7.05
3.3	3.3	4402.7	7.18
3.4	3.4	4860.6	7.3
3.5	3.5	5318.5	7.42
3.6	3.6	5776.4	7.55
3.7	3.7	6234.3	7.66
3.8	3.8	6692.2	7.78
3.9	3.9	7150.1	7.9
4.0	4.0	7608.0	8.01
4.1	4.1	8394.3	8.12
4.2	4.2	9180.6	8.23
4.3	4.3	9966.9	8.34
4.4	4.4	10753.2	8.45
4.5	4.5	11539.5	8.56
4.6	4.6	12325.8	8.66
4.7	4.7	13112.1	8.77
4.8	4.8	13898.4	8.87
4.9	4.9	14684.7	8.97
5.0	5.0	15471.0	9.07
5.1	5.1	15575.48	9.17
5.106287501	5.106287501	16515.8	9.18
