	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	7.64	0.0
0.2	0.2	15.28	0.02
0.3	0.3	22.93	0.06
0.4	0.4	30.57	0.15
0.5	0.5	38.21	0.19
0.6	0.6	45.85	0.22
0.7	0.7	53.49	0.25
0.8	0.8	61.13	0.27
0.9	0.9	68.78	0.29
1.0	1.0	76.42	0.31
1.1	1.1	106.78	0.33
1.2	1.2	137.13	0.35
1.3	1.3	167.49	0.36
1.4	1.4	197.85	0.38
1.5	1.5	228.21	0.4
1.6	1.6	258.57	0.41
1.7	1.7	288.93	0.43
1.8	1.8	319.28	0.44
1.9	1.9	349.64	0.45
2.0	2.0	380.0	0.47
2.1	2.1	450.9	0.48
2.2	2.2	521.8	0.49
2.3	2.3	592.7	0.5
2.4	2.4	663.6	0.51
2.5	2.5	734.5	0.53
2.6	2.6	805.4	0.54
2.7	2.7	876.3	0.55
2.8	2.8	947.2	0.56
2.9	2.9	1018.1	0.57
3.0	3.0	1089.0	0.58
3.1	3.1	1221.1	0.59
3.2	3.2	1353.2	0.6
3.3	3.3	1485.3	0.61
3.4	3.4	1617.4	0.62
3.5	3.5	1749.5	0.63
3.6	3.6	1881.6	0.64
3.7	3.7	2013.7	0.65
3.8	3.8	2145.8	0.66
3.9	3.9	2277.9	0.67
4.0	4.0	2410.0	0.68
4.1	4.1	2631.6	0.69
4.2	4.2	2853.2	0.69
4.3	4.3	3074.8	0.7
4.4	4.4	3296.4	0.71
4.5	4.5	3518.0	0.72
4.6	4.6	3739.6	0.73
4.7	4.7	3961.2	0.74
4.8	4.8	4182.8	0.74
4.9	4.9	4404.4	0.75
5.0	5.0	4626.0	0.76
5.1	5.1	4654.97	0.77
5.105713893	5.105713893	4915.74	0.77
