	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	5.69	0.0
0.2	0.2	11.39	0.03
0.3	0.3	17.08	0.09
0.4	0.4	22.77	0.16
0.5	0.5	28.46	0.25
0.6	0.6	34.16	0.46
0.7	0.7	39.85	0.52
0.8	0.8	45.54	0.58
0.9	0.9	51.23	0.63
1.0	1.0	56.93	0.68
1.1	1.1	81.73	0.72
1.2	1.2	106.54	0.76
1.3	1.3	131.35	0.8
1.4	1.4	156.16	0.84
1.5	1.5	180.96	0.87
1.6	1.6	205.77	0.91
1.7	1.7	230.58	0.94
1.8	1.8	255.39	0.97
1.9	1.9	280.19	1.0
2.0	2.0	305.0	1.03
2.1	2.1	321.24	1.06
2.2	2.2	337.48	1.09
2.3	2.3	353.72	1.12
2.380609131	2.380609131	467.4	1.14
