	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	7.61	0.0
0.2	0.2	15.23	0.09
0.3	0.3	22.84	0.28
0.4	0.4	30.45	0.54
0.5	0.5	38.07	0.83
0.6	0.6	45.68	1.17
0.7	0.7	53.29	1.55
0.8	0.8	60.91	1.96
0.9	0.9	68.52	2.39
1.0	1.0	76.13	2.85
1.1	1.1	137.22	3.34
1.2	1.2	198.31	3.86
1.3	1.3	259.39	4.39
1.4	1.4	320.48	4.95
1.5	1.5	381.57	5.54
1.6	1.6	442.65	8.59
1.7	1.7	503.74	9.02
1.8	1.8	564.83	9.44
1.9	1.9	625.91	9.83
2.0	2.0	687.0	10.21
2.1	2.1	887.2	10.58
2.2	2.2	1087.4	10.93
2.3	2.3	1287.6	11.28
2.4	2.4	1487.8	11.61
2.5	2.5	1688.0	11.93
2.6	2.6	1888.2	12.24
2.7	2.7	2088.4	12.55
2.8	2.8	2288.6	12.85
2.9	2.9	2488.8	13.14
3.0	3.0	2689.0	13.42
3.1	3.1	3157.3	13.7
3.2	3.2	3625.6	13.97
3.3	3.3	4093.9	14.24
3.4	3.4	4562.2	14.51
3.5	3.5	5030.5	14.76
3.6	3.6	5498.8	15.02
3.7	3.7	5967.1	15.27
3.8	3.8	6435.4	15.51
3.9	3.9	6903.7	15.75
4.0	4.0	7372.0	15.99
4.1	4.1	8234.5	16.23
4.2	4.2	9097.0	16.46
4.3	4.3	9959.5	16.68
4.4	4.4	10822.0	16.91
4.5	4.5	11684.5	17.13
4.6	4.6	12547.0	17.35
4.7	4.7	13409.5	17.57
4.8	4.8	14272.0	17.78
4.9	4.9	15134.5	17.99
5.0	5.0	15997.0	18.2
5.092588974	5.092588974	17001.84	18.39
