	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	2.61	0.0
0.2	0.2	5.21	0.02
0.3	0.3	7.82	0.06
0.4	0.4	10.43	0.15
0.5	0.5	13.03	0.19
0.6	0.6	15.64	0.22
0.7	0.7	18.24	0.25
0.8	0.8	20.85	0.27
0.9	0.9	23.46	0.29
1.0	1.0	26.06	0.31
1.1	1.1	46.16	0.33
1.2	1.2	66.25	0.35
1.3	1.3	86.34	0.36
1.4	1.4	106.44	0.38
1.5	1.5	126.53	0.4
1.6	1.6	146.63	0.41
1.7	1.7	166.72	0.43
1.8	1.8	186.81	0.44
1.9	1.9	206.91	0.45
2.0	2.0	227.0	0.47
2.1	2.1	275.1	0.48
2.2	2.2	323.2	0.49
2.3	2.3	371.3	0.5
2.4	2.4	419.4	0.51
2.5	2.5	467.5	0.53
2.6	2.6	515.6	0.54
2.7	2.7	563.7	0.55
2.8	2.8	611.8	0.56
2.9	2.9	659.9	0.57
3.0	3.0	708.0	0.58
3.1	3.1	788.3	0.59
3.2	3.2	868.6	0.6
3.3	3.3	948.9	0.61
3.4	3.4	1029.2	0.62
3.5	3.5	1109.5	0.63
3.6	3.6	1189.8	0.64
3.7	3.7	1270.1	0.65
3.8	3.8	1350.4	0.66
3.9	3.9	1430.7	0.67
4.0	4.0	1511.0	0.68
4.1	4.1	1633.2	0.69
4.2	4.2	1755.4	0.69
4.3	4.3	1877.6	0.7
4.4	4.4	1999.8	0.71
4.5	4.5	2122.0	0.72
4.6	4.6	2244.2	0.73
4.7	4.7	2366.4	0.74
4.8	4.8	2488.6	0.74
4.9	4.9	2610.8	0.75
5.0	5.0	2733.0	0.76
5.049026391	5.049026391	2806.56	0.76
