	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	10.49	0.0
0.2	0.2	20.98	0.05
0.3	0.3	31.47	0.14
0.4	0.4	41.96	0.27
0.5	0.5	52.45	0.41
0.6	0.6	62.93	0.58
0.7	0.7	73.42	0.78
0.8	0.8	83.91	0.98
0.9	0.9	94.4	1.59
1.0	1.0	104.89	1.74
1.1	1.1	176.2	1.87
1.2	1.2	247.51	1.99
1.3	1.3	318.82	2.11
1.4	1.4	390.13	2.22
1.5	1.5	461.45	2.32
1.6	1.6	532.76	2.42
1.7	1.7	604.07	2.52
1.8	1.8	675.38	2.61
1.9	1.9	746.69	2.7
2.0	2.0	818.0	2.78
2.1	2.1	993.4	2.87
2.2	2.2	1168.8	2.95
2.3	2.3	1344.2	3.03
2.4	2.4	1519.6	3.11
2.5	2.5	1695.0	3.18
2.6	2.6	1870.4	3.25
2.7	2.7	2045.8	3.33
2.8	2.8	2221.2	3.4
2.9	2.9	2396.6	3.46
3.0	3.0	2572.0	3.53
3.1	3.1	2929.9	3.6
3.2	3.2	3287.8	3.66
3.3	3.3	3645.7	3.73
3.4	3.4	4003.6	3.79
3.5	3.5	4361.5	3.85
3.6	3.6	4719.4	3.91
3.7	3.7	5077.3	3.97
3.8	3.8	5435.2	4.03
3.9	3.9	5793.1	4.09
4.0	4.0	6151.0	4.15
4.1	4.1	6753.9	4.2
4.2	4.2	7356.8	4.26
4.3	4.3	7959.7	4.31
4.4	4.4	8562.6	4.37
4.5	4.5	9165.5	4.42
4.6	4.6	9768.4	4.47
4.7	4.7	10371.3	4.53
4.8	4.8	10974.2	4.58
4.9	4.9	11577.1	4.63
5.0	5.0	12180.0	4.68
5.1	5.1	12253.74	4.73
5.10179501	5.10179501	12917.41	4.73
