	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	3.18	0.0
0.2	0.2	6.37	0.02
0.3	0.3	9.55	0.06
0.4	0.4	12.74	0.15
0.5	0.5	15.92	0.19
0.6	0.6	19.11	0.22
0.7	0.7	22.29	0.25
0.8	0.8	25.48	0.27
0.9	0.9	28.66	0.29
1.0	1.0	31.85	0.31
1.1	1.1	40.26	0.33
1.2	1.2	48.68	0.35
1.3	1.3	57.09	0.36
1.4	1.4	65.51	0.38
1.5	1.5	73.92	0.4
1.6	1.6	82.34	0.41
1.7	1.7	90.75	0.43
1.8	1.8	99.17	0.44
1.9	1.9	107.58	0.45
2.0	2.0	116.0	0.47
2.1	2.1	131.0	0.48
2.2	2.2	146.0	0.49
2.3	2.3	161.0	0.5
2.4	2.4	176.0	0.51
2.5	2.5	191.0	0.53
2.6	2.6	206.0	0.54
2.7	2.7	221.0	0.55
2.8	2.8	236.0	0.56
2.9	2.9	251.0	0.57
3.0	3.0	266.0	0.58
3.1	3.1	293.7	0.59
3.2	3.2	321.4	0.6
3.3	3.3	349.1	0.61
3.4	3.4	376.8	0.62
3.5	3.5	404.5	0.63
3.6	3.6	432.2	0.64
3.7	3.7	459.9	0.65
3.8	3.8	487.6	0.66
3.9	3.9	515.3	0.67
4.0	4.0	543.0	0.68
4.1	4.1	592.0	0.69
4.2	4.2	641.0	0.69
4.3	4.3	690.0	0.7
4.4	4.4	739.0	0.71
4.5	4.5	788.0	0.72
4.6	4.6	837.0	0.73
4.7	4.7	886.0	0.74
4.8	4.8	935.0	0.74
4.9	4.9	984.0	0.75
5.0	5.0	1033.0	0.76
5.065089634	5.065089634	1071.04	0.77
