	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	22.72	0.0
0.2	0.2	45.44	0.02
0.3	0.3	68.16	0.06
0.4	0.4	90.88	0.15
0.5	0.5	113.6	0.19
0.6	0.6	136.32	0.22
0.7	0.7	159.04	0.25
0.8	0.8	181.76	0.27
0.9	0.9	204.47	0.29
1.0	1.0	227.19	0.31
1.1	1.1	353.47	0.33
1.2	1.2	479.76	0.35
1.3	1.3	606.04	0.36
1.4	1.4	732.32	0.38
1.5	1.5	858.6	0.4
1.6	1.6	984.88	0.41
1.7	1.7	1111.16	0.43
1.8	1.8	1237.44	0.44
1.9	1.9	1363.72	0.45
2.0	2.0	1490.0	0.47
2.1	2.1	1782.16	0.48
2.2	2.2	2074.31	0.49
2.3	2.3	2366.47	0.5
2.4	2.4	2658.62	0.51
2.5	2.5	2950.78	0.53
2.6	2.6	3242.93	0.54
2.7	2.7	3535.09	0.55
2.8	2.8	3827.24	0.56
2.9	2.9	4119.4	0.57
2.926099006	2.926099006	4411.55	0.57
