	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	16.5	0.0
0.2	0.2	33.0	0.04
0.3	0.3	49.51	0.11
0.4	0.4	66.01	0.22
0.5	0.5	82.51	0.33
0.6	0.6	99.01	0.47
0.7	0.7	115.52	0.87
0.8	0.8	132.02	0.98
0.9	0.9	148.52	1.07
1.0	1.0	165.02	1.16
1.1	1.1	234.22	1.24
1.2	1.2	303.42	1.31
1.3	1.3	372.62	1.39
1.4	1.4	441.81	1.45
1.5	1.5	511.01	1.52
1.6	1.6	580.21	1.58
1.7	1.7	649.41	1.64
1.8	1.8	718.6	1.7
1.9	1.9	787.8	1.76
2.0	2.0	857.0	1.81
2.1	2.1	1057.9	1.86
2.2	2.2	1258.8	1.91
2.3	2.3	1459.7	1.96
2.4	2.4	1660.6	2.01
2.5	2.5	1861.5	2.06
2.6	2.6	2062.4	2.11
2.7	2.7	2263.3	2.15
2.8	2.8	2464.2	2.2
2.9	2.9	2665.1	2.24
3.0	3.0	2866.0	2.28
3.1	3.1	3491.24	2.32
3.2	3.2	4116.48	2.36
3.3	3.3	4741.72	2.41
3.4	3.4	5366.96	2.44
3.5	3.5	5992.2	2.48
3.6	3.6	6617.44	2.52
3.7	3.7	7242.68	2.56
3.8	3.8	7867.92	2.6
3.9	3.9	8493.16	2.63
3.997420216	3.997420216	9118.4	2.67
