	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	0.1	0.0
0.2	0.2	0.2	0.02
0.3	0.3	0.3	0.06
0.4	0.4	0.4	0.15
0.5	0.5	0.51	0.19
0.6	0.6	0.61	0.22
0.7	0.7	0.71	0.25
0.8	0.8	0.81	0.27
0.9	0.9	0.91	0.29
1.0	1.0	1.01	0.31
1.1	1.1	2.51	0.33
1.2	1.2	4.01	0.35
1.3	1.3	5.51	0.36
1.4	1.4	7.01	0.38
1.5	1.5	8.51	0.4
1.6	1.6	10.0	0.41
1.7	1.7	11.5	0.43
1.8	1.8	13.0	0.44
1.9	1.9	14.5	0.45
2.0	2.0	16.0	0.47
2.1	2.1	20.4	0.48
2.2	2.2	24.8	0.49
2.3	2.3	29.2	0.5
2.4	2.4	33.6	0.51
2.5	2.5	38.0	0.53
2.6	2.6	42.4	0.54
2.7	2.7	46.8	0.55
2.8	2.8	51.2	0.56
2.9	2.9	55.6	0.57
3.0	3.0	60.0	0.58
3.1	3.1	73.4	0.59
3.2	3.2	86.8	0.6
3.3	3.3	100.2	0.61
3.4	3.4	113.6	0.62
3.5	3.5	127.0	0.63
3.6	3.6	140.4	0.64
3.7	3.7	153.8	0.65
3.8	3.8	167.2	0.66
3.9	3.9	180.6	0.67
4.0	4.0	194.0	0.68
4.1	4.1	224.0	0.69
4.2	4.2	254.0	0.69
4.3	4.3	284.0	0.7
4.4	4.4	314.0	0.71
4.5	4.5	344.0	0.72
4.6	4.6	374.0	0.73
4.7	4.7	404.0	0.74
4.8	4.8	434.0	0.74
4.9	4.9	464.0	0.75
5.0	5.0	494.0	0.76
5.1	5.1	499.16	0.77
5.134534662	5.134534662	545.64	0.77
