	depth	storage	outflow_rect
0.0	0.0	0.0	0.0
0.1	0.1	8.64	0.0
0.2	0.2	17.27	0.09
0.3	0.3	25.91	0.26
0.4	0.4	34.55	0.48
0.5	0.5	43.18	0.75
0.6	0.6	51.82	1.05
0.7	0.7	60.46	1.4
0.8	0.8	69.09	1.76
0.9	0.9	77.73	2.15
1.0	1.0	86.37	2.57
1.1	1.1	190.63	3.01
1.2	1.2	294.89	3.47
1.3	1.3	399.16	3.95
1.4	1.4	503.42	4.46
1.5	1.5	607.68	6.79
1.6	1.6	711.95	7.15
1.7	1.7	816.21	7.49
1.8	1.8	920.47	7.82
1.9	1.9	1024.74	8.13
2.0	2.0	1129.0	8.43
2.1	2.1	1496.0	8.72
2.2	2.2	1863.0	9.0
2.3	2.3	2230.0	9.28
2.4	2.4	2597.0	9.54
2.5	2.5	2964.0	9.8
2.6	2.6	3331.0	10.05
2.7	2.7	3698.0	10.29
2.8	2.8	4065.0	10.53
2.9	2.9	4432.0	10.76
3.0	3.0	4799.0	10.99
3.1	3.1	5502.3	11.21
3.2	3.2	6205.6	11.43
3.3	3.3	6908.9	11.65
3.4	3.4	7612.2	11.86
3.5	3.5	8315.5	12.06
3.6	3.6	9018.8	12.27
3.7	3.7	9722.1	12.47
3.8	3.8	10425.4	12.67
3.9	3.9	11128.7	12.86
4.0	4.0	11832.0	13.05
4.1	4.1	12828.3	13.24
4.2	4.2	13824.6	13.42
4.3	4.3	14820.9	13.61
4.4	4.4	15817.2	13.79
4.5	4.5	16813.5	13.97
4.6	4.6	17809.8	14.14
4.7	4.7	18806.1	14.32
4.8	4.8	19802.4	14.49
4.9	4.9	20798.7	14.66
5.0	5.0	21795.0	14.83
5.1	5.1	21920.9	14.99
5.109505252	5.109505252	23053.99	15.01
